"BehaviorSpace results (NetLogo 6.0.4)"
"terror.nlogo"
"experiment"
"07/30/2018 12:19:20:446 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","input-folder","alpha","beta","output-folder","omega","[step]"
"2","Iraq","0.6","5","20180727A","0","1826"
"3","Iraq","0.7","5","20180727A","0","1826"
"1","Iraq","0.5","5","20180727A","0","1826"
"4","Iraq","0.8","5","20180727A","0","1826"
"6","Iraq","1","5","20180727A","0","1826"
"5","Iraq","0.9","5","20180727A","0","1826"
"7","Iraq","1.1","5","20180727A","0","1826"
"8","Iraq","1.2","5","20180727A","0","1826"
"10","Iraq","0.5","5.5","20180727A","0","1826"
"11","Iraq","0.6","5.5","20180727A","0","1826"
"12","Iraq","0.7","5.5","20180727A","0","1826"
"9","Iraq","1.3","5","20180727A","0","1826"
"14","Iraq","0.9","5.5","20180727A","0","1826"
"13","Iraq","0.8","5.5","20180727A","0","1826"
"15","Iraq","1","5.5","20180727A","0","1826"
"16","Iraq","1.1","5.5","20180727A","0","1826"
"17","Iraq","1.2","5.5","20180727A","0","1826"
"18","Iraq","1.3","5.5","20180727A","0","1826"
"19","Iraq","0.5","6","20180727A","0","1826"
"20","Iraq","0.6","6","20180727A","0","1826"
"21","Iraq","0.7","6","20180727A","0","1826"
"22","Iraq","0.8","6","20180727A","0","1826"
"23","Iraq","0.9","6","20180727A","0","1826"
"24","Iraq","1","6","20180727A","0","1826"
"25","Iraq","1.1","6","20180727A","0","1826"
"26","Iraq","1.2","6","20180727A","0","1826"
"28","Iraq","0.5","6.5","20180727A","0","1826"
"27","Iraq","1.3","6","20180727A","0","1826"
"29","Iraq","0.6","6.5","20180727A","0","1826"
"30","Iraq","0.7","6.5","20180727A","0","1826"
"31","Iraq","0.8","6.5","20180727A","0","1826"
"32","Iraq","0.9","6.5","20180727A","0","1826"
"33","Iraq","1","6.5","20180727A","0","1826"
"34","Iraq","1.1","6.5","20180727A","0","1826"
"35","Iraq","1.2","6.5","20180727A","0","1826"
"36","Iraq","1.3","6.5","20180727A","0","1826"
"37","Iraq","0.5","7","20180727A","0","1826"
"38","Iraq","0.6","7","20180727A","0","1826"
"39","Iraq","0.7","7","20180727A","0","1826"
"40","Iraq","0.8","7","20180727A","0","1826"
"41","Iraq","0.9","7","20180727A","0","1826"
"42","Iraq","1","7","20180727A","0","1826"
"43","Iraq","1.1","7","20180727A","0","1826"
"44","Iraq","1.2","7","20180727A","0","1826"
"45","Iraq","1.3","7","20180727A","0","1826"
"46","Iraq","0.5","7.5","20180727A","0","1826"
"47","Iraq","0.6","7.5","20180727A","0","1826"
"48","Iraq","0.7","7.5","20180727A","0","1826"
"50","Iraq","0.9","7.5","20180727A","0","1826"
"49","Iraq","0.8","7.5","20180727A","0","1826"
"51","Iraq","1","7.5","20180727A","0","1826"
"52","Iraq","1.1","7.5","20180727A","0","1826"
"55","Iraq","0.5","8","20180727A","0","1826"
"54","Iraq","1.3","7.5","20180727A","0","1826"
"53","Iraq","1.2","7.5","20180727A","0","1826"
"56","Iraq","0.6","8","20180727A","0","1826"
"57","Iraq","0.7","8","20180727A","0","1826"
"58","Iraq","0.8","8","20180727A","0","1826"
"59","Iraq","0.9","8","20180727A","0","1826"
"60","Iraq","1","8","20180727A","0","1826"
"64","Iraq","0.5","8.5","20180727A","0","1826"
"61","Iraq","1.1","8","20180727A","0","1826"
"62","Iraq","1.2","8","20180727A","0","1826"
"63","Iraq","1.3","8","20180727A","0","1826"
"65","Iraq","0.6","8.5","20180727A","0","1826"
"66","Iraq","0.7","8.5","20180727A","0","1826"
"68","Iraq","0.9","8.5","20180727A","0","1826"
"67","Iraq","0.8","8.5","20180727A","0","1826"
"69","Iraq","1","8.5","20180727A","0","1826"
"70","Iraq","1.1","8.5","20180727A","0","1826"
"71","Iraq","1.2","8.5","20180727A","0","1826"
"72","Iraq","1.3","8.5","20180727A","0","1826"
"73","Iraq","0.5","9","20180727A","0","1826"
"74","Iraq","0.6","9","20180727A","0","1826"
"75","Iraq","0.7","9","20180727A","0","1826"
"76","Iraq","0.8","9","20180727A","0","1826"
"77","Iraq","0.9","9","20180727A","0","1826"
"78","Iraq","1","9","20180727A","0","1826"
"79","Iraq","1.1","9","20180727A","0","1826"
"80","Iraq","1.2","9","20180727A","0","1826"
"81","Iraq","1.3","9","20180727A","0","1826"
"82","Iraq","0.5","9.5","20180727A","0","1826"
"83","Iraq","0.6","9.5","20180727A","0","1826"
"84","Iraq","0.7","9.5","20180727A","0","1826"
"85","Iraq","0.8","9.5","20180727A","0","1826"
"86","Iraq","0.9","9.5","20180727A","0","1826"
"87","Iraq","1","9.5","20180727A","0","1826"
"88","Iraq","1.1","9.5","20180727A","0","1826"
"91","Iraq","0.5","10","20180727A","0","1826"
"90","Iraq","1.3","9.5","20180727A","0","1826"
"92","Iraq","0.6","10","20180727A","0","1826"
"89","Iraq","1.2","9.5","20180727A","0","1826"
"93","Iraq","0.7","10","20180727A","0","1826"
"94","Iraq","0.8","10","20180727A","0","1826"
"95","Iraq","0.9","10","20180727A","0","1826"
"96","Iraq","1","10","20180727A","0","1826"
"97","Iraq","1.1","10","20180727A","0","1826"
"98","Iraq","1.2","10","20180727A","0","1826"
"99","Iraq","1.3","10","20180727A","0","1826"
"100","Iraq","0.5","5","20180727A","0.1","1826"
"101","Iraq","0.6","5","20180727A","0.1","1826"
"102","Iraq","0.7","5","20180727A","0.1","1826"
"103","Iraq","0.8","5","20180727A","0.1","1826"
"104","Iraq","0.9","5","20180727A","0.1","1826"
"108","Iraq","1.3","5","20180727A","0.1","132"
"109","Iraq","0.5","5.5","20180727A","0.1","1826"
"107","Iraq","1.2","5","20180727A","0.1","908"
"105","Iraq","1","5","20180727A","0.1","1826"
