run,alpha,beta,omega,country,pfrac
1107224,0.150000,4.000000,0.000000,Afghanistan,0.554667
534824,0.150000,4.000000,0.100000,Afghanistan,0.544667
580184,0.150000,4.000000,0.200000,Afghanistan,0.556000
951056,0.150000,4.000000,0.300000,Afghanistan,0.562667
378656,0.150000,4.000000,0.400000,Afghanistan,0.569333
1041776,0.150000,4.000000,0.500000,Afghanistan,0.561333
847160,0.150000,4.000000,0.600000,Afghanistan,0.561333
170216,0.150000,4.000000,0.700000,Afghanistan,0.544667
1158848,0.150000,4.000000,0.800000,Afghanistan,0.539333
690992,0.150000,4.000000,0.900000,Afghanistan,0.535333
66320,0.150000,4.000000,1.000000,Afghanistan,0.527333
268520,0.150000,4.500000,0.000000,Afghanistan,0.568000
1152608,0.150000,4.500000,0.100000,Afghanistan,0.572000
789296,0.150000,4.500000,0.200000,Afghanistan,0.552667
60080,0.150000,4.500000,0.300000,Afghanistan,0.552000
160088,0.150000,4.500000,0.400000,Afghanistan,0.562667
633128,0.150000,4.500000,0.500000,Afghanistan,0.580000
8456,0.150000,4.500000,0.600000,Afghanistan,0.560667
1049360,0.150000,4.500000,0.700000,Afghanistan,0.562000
476960,0.150000,4.500000,0.800000,Afghanistan,0.566667
776552,0.150000,4.500000,0.900000,Afghanistan,0.551333
945464,0.150000,4.500000,1.000000,Afghanistan,0.543333
194888,0.150000,5.000000,0.000000,Afghanistan,0.572000
575264,0.150000,5.000000,0.100000,Afghanistan,0.570000
2864,0.150000,5.000000,0.200000,Afghanistan,0.570667
841808,0.150000,5.000000,0.300000,Afghanistan,0.569333
419096,0.150000,5.000000,0.400000,Afghanistan,0.568667
811352,0.150000,5.000000,0.500000,Afghanistan,0.565333
887600,0.150000,5.000000,0.600000,Afghanistan,0.559333
262928,0.150000,5.000000,0.700000,Afghanistan,0.560000
1147016,0.150000,5.000000,0.800000,Afghanistan,0.575333
386912,0.150000,5.000000,0.900000,Afghanistan,0.568000
159032,0.150000,5.000000,1.000000,Afghanistan,0.549333
361232,0.150000,5.500000,0.000000,Afghanistan,0.569333
846152,0.150000,5.500000,0.100000,Afghanistan,0.560667
829736,0.150000,5.500000,0.200000,Afghanistan,0.559333
205064,0.150000,5.500000,0.300000,Afghanistan,0.572000
1141424,0.150000,5.500000,0.400000,Afghanistan,0.564000
673568,0.150000,5.500000,0.500000,Afghanistan,0.578000
101168,0.150000,5.500000,0.600000,Afghanistan,0.573333
1142072,0.150000,5.500000,0.700000,Afghanistan,0.575333
465128,0.150000,5.500000,0.800000,Afghanistan,0.568667
199232,0.150000,5.500000,0.900000,Afghanistan,0.573333
985904,0.150000,5.500000,1.000000,Afghanistan,0.555333
1135832,0.150000,6.000000,0.000000,Afghanistan,0.566667
615704,0.150000,6.000000,0.100000,Afghanistan,0.576000
43304,0.150000,6.000000,0.200000,Afghanistan,0.568667
711176,0.150000,6.000000,0.300000,Afghanistan,0.552000
459536,0.150000,6.000000,0.400000,Afghanistan,0.574667
274424,0.150000,6.000000,0.500000,Afghanistan,0.572000
928040,0.150000,6.000000,0.600000,Afghanistan,0.564000
355640,0.150000,6.000000,0.700000,Afghanistan,0.564000
840560,0.150000,6.000000,0.800000,Afghanistan,0.559333
719600,0.150000,6.000000,0.900000,Afghanistan,0.564667
199472,0.150000,6.000000,1.000000,Afghanistan,0.553333
453944,0.150000,6.500000,0.000000,Afghanistan,0.569333
26480,0.150000,6.500000,0.100000,Afghanistan,0.572667
870176,0.150000,6.500000,0.200000,Afghanistan,0.574667
297776,0.150000,6.500000,0.300000,Afghanistan,0.568000
875360,0.150000,6.500000,0.400000,Afghanistan,0.572000
661736,0.150000,6.500000,0.500000,Afghanistan,0.569333
141608,0.150000,6.500000,0.600000,Afghanistan,0.559333
1182512,0.150000,6.500000,0.700000,Afghanistan,0.562667
450920,0.150000,6.500000,0.800000,Afghanistan,0.574667
679232,0.150000,6.500000,0.900000,Afghanistan,0.563333
1026344,0.150000,6.500000,1.000000,Afghanistan,0.561333
1176272,0.150000,7.000000,0.000000,Afghanistan,0.570000
656144,0.150000,7.000000,0.100000,Afghanistan,0.575333
83744,0.150000,7.000000,0.200000,Afghanistan,0.572000
1124648,0.150000,7.000000,0.300000,Afghanistan,0.557333
499976,0.150000,7.000000,0.400000,Afghanistan,0.575333
526328,0.150000,7.000000,0.500000,Afghanistan,0.562667
293696,0.150000,7.000000,0.600000,Afghanistan,0.570667
396080,0.150000,7.000000,0.700000,Afghanistan,0.573333
263240,0.150000,7.000000,0.800000,Afghanistan,0.562667
940616,0.150000,7.000000,0.900000,Afghanistan,0.563333
239912,0.150000,7.000000,1.000000,Afghanistan,0.574667
494384,0.150000,7.500000,0.000000,Afghanistan,0.569333
302144,0.150000,7.500000,0.100000,Afghanistan,0.574667
910616,0.150000,7.500000,0.200000,Afghanistan,0.569333
338216,0.150000,7.500000,0.300000,Afghanistan,0.573333
96080,0.150000,7.500000,0.400000,Afghanistan,0.574667
754448,0.150000,7.500000,0.500000,Afghanistan,0.565333
129776,0.150000,7.500000,0.600000,Afghanistan,0.547333
743000,0.150000,7.500000,0.700000,Afghanistan,0.580667
598280,0.150000,7.500000,0.800000,Afghanistan,0.568667
25880,0.150000,7.500000,0.900000,Afghanistan,0.564000
1066784,0.150000,7.500000,1.000000,Afghanistan,0.564667
90488,0.150000,8.000000,0.000000,Afghanistan,0.568000
696584,0.150000,8.000000,0.100000,Afghanistan,0.560667
124184,0.150000,8.000000,0.200000,Afghanistan,0.570667
1165088,0.150000,8.000000,0.300000,Afghanistan,0.566667
592688,0.150000,8.000000,0.400000,Afghanistan,0.568000
666560,0.150000,8.000000,0.500000,Afghanistan,0.568667
1008920,0.150000,8.000000,0.600000,Afghanistan,0.568000
436520,0.150000,8.000000,0.700000,Afghanistan,0.566667
529400,0.150000,8.000000,0.800000,Afghanistan,0.579333
852752,0.150000,8.000000,0.900000,Afghanistan,0.571333
957512,0.150000,8.000000,1.000000,Afghanistan,0.552667
926642,0.050000,4.000000,0.000000,Afghanistan,0.564000
301970,0.050000,4.000000,0.100000,Afghanistan,0.567333
677594,0.050000,4.000000,0.200000,Afghanistan,0.566000
770474,0.050000,4.000000,0.300000,Afghanistan,0.560000
198074,0.050000,4.000000,0.400000,Afghanistan,0.568667
1186706,0.050000,4.000000,0.500000,Afghanistan,0.576000
614306,0.050000,4.000000,0.600000,Afghanistan,0.573333
41906,0.050000,4.000000,0.700000,Afghanistan,0.578667
1082810,0.050000,4.000000,0.800000,Afghanistan,0.562667
980858,0.050000,4.000000,0.900000,Afghanistan,0.564000
111458,0.050000,4.000000,1.000000,Afghanistan,0.567333
140210,0.050000,4.500000,0.000000,Afghanistan,0.564000
1181114,0.050000,4.500000,0.100000,Afghanistan,0.572667
143018,0.050000,4.500000,0.200000,Afghanistan,0.572667
668330,0.050000,4.500000,0.300000,Afghanistan,0.564667
1024946,0.050000,4.500000,0.400000,Afghanistan,0.568667
