eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubtterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,nperps,nperpcap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode2_txt,claim3,claimmode3,claimmode3_txt,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,ransomnote,hostkidoutcome,hostkidoutcome_txt,nreleased,addnotes,scite1,scite2,scite3,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related,strdate,datetime,date,idate
200101070007,2001,1,7,,1,2001-01-10,4,Afghanistan,6,South Asia,Bamyan,Yakawlang,34.733333,66.966667,1.0,0,Yakawlang town and the surrounding district,"1/7/2001: Taliban militia regained control of Yakawlang town, Bamyan, Afghanistan.  For the next three days, the Taliban proceeded to go from house to house, gathering and shooting the local men.  Reports indicate that at least 170 people were killed in the attack.  Sources indicate that the orders for the massacre came from Taliban leader Mullah Mohammed Omar; Omar denies the incident took place.",1,1,1,0,,,0,1,0,2,Armed Assault,,,,,14,Private Citizens & Property,67.0,Unnamed Civilian/Unspecified,Civilians,Civilians living in the vicinity of Yakawlang,4.0,Afghanistan,,,,,,,,,,,,,,,,,Taliban,,,,,,"Specific motive is unknown; however, survivors report that they were targeted because they were of the same ethnic background as the attackers.",0.0,,,-99.0,-99.0,0.0,,,,,,,,,,5,Firearms,5.0,Unknown Gun Type,,,,,,,,,,,,,The victims were shot in the head,150.0,0.0,0.0,,0.0,0.0,-9,,,,,-9.0,,,,,,,,,,,,,,,,"Sources provide different accounts of the number of dead, the location of the killing, and the style of killing.","""Taliban recapture central Afghan district,"" Agence France-Presse, January 8, 2001.","""Taleban killed hundreds of Afghans - reports,"" Reuters, February 19, 2001.","""Afghanistan - Taleban accused of mass killing,"" Pakistan Press International, February 19, 2001.",UMD Schmid 2012,0,0,0,0,,1-7-2001,2001-01-07,2001-01-07,6
200101220006,2001,1,22,,0,,4,Afghanistan,6,South Asia,Kabul,Kabul,34.533056,69.166111,1.0,0,Near a United Nations building and the unoccupied Iranian Embassy in central Kabul,"1/22/2001: A bomb exploded near the unoccupied Iranian Embassy and a United Nations building in central Kabul, Kabul, Afghanistan.  It is unclear which of the two buildings were the intended target.  No one was injured in the attack, but the explosion damaged a wall and a tree in the area.  No group claimed responsibility for the attack; however, the Taliban blames the opposition and states that the explosion was intended to stir up tension between the Taliban and Iran.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,7,Government (Diplomatic),47.0,"International Organization (peacekeeper, aid agency, compound)",United Nations or Iranian government,A United Nations building or a defunct Iranian Embassy in Kabul,94.0,Iran,,,,,,,,,,,,,,,,,Opposition Group,,,,,,The Taliban claims that the attack was intended to stir up tension between them and Iran,1.0,,,-99.0,0.0,0.0,,,,,,,,,,6,Explosives/Bombs/Dynamite,16.0,Unknown Explosive Type,,,,,,,,,,,,,A bomb planted in a drainpipe,0.0,0.0,0.0,0.0,0.0,0.0,1,4.0,Unknown,,"A cement wall was damaged, as was a tree",0.0,,,,,,,,,,,,,,,,,"""Bomb explodes near Iranian Embassy, UN building,"" Associated Press, January 22, 2001.","""Blasts shake Afghan capital,"" Agence France-Presse, January 23, 2001.","""Fifth explosion in week hits Afghan capital,"" Reuters, January 23, 2001.",UMD Schmid 2012,-9,-9,1,1,,1-22-2001,2001-01-22,2001-01-22,21
200102010001,2001,2,1,,0,,4,Afghanistan,6,South Asia,Kabul,Kabul,34.533056,69.166111,1.0,0,Near the ministry of education in downtown Kabul,"2/1/2001: A bomb exploded near the Ministry of Education in downtown Kabul, Kabul, Afghanistan.  No one was injured in the explosion; however, the windows of two nearby shops were damaged.  The Taliban blamed members of the opposition for the attack but they deny any involvement.  This is one of a series of bombings that occurred that day.",1,1,1,0,,,1,1,0,3,Bombing/Explosion,,,,,2,Government (General),21.0,Government Building/Facility/Office,Taliban government,Ministry of Education building,4.0,Afghanistan,,,,,,,,,,,,,,,,,Opposition Group,,,,,,"Specific motive is unknown; however, the Taliban claims that the attacks were intended to undermine security.",1.0,,,-99.0,0.0,0.0,,,,,,,,,,6,Explosives/Bombs/Dynamite,16.0,Unknown Explosive Type,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,4.0,Unknown,,Windows in near-by stores were broken in the explosion,0.0,,,,,,,,,,,,,,,,,"""Update 1 - Three explosions in Afghan capital Kabul,"" Reuters, February 1, 2001.","""Three explosions rock Kabul; no one hurt,"" Associated Press, February 1, 2001.","""Three explosions rock Afghan capital,"" Agence France-Presse, February 1, 2001.",UMD Schmid 2012,-9,-9,0,-9,"200102010005, 200102010006",2-1-2001,2001-02-01,2001-02-01,31
200102010005,2001,2,1,,0,,4,Afghanistan,6,South Asia,Kabul,Kabul,34.533056,69.166111,1.0,0,In front of the tribal affairs ministry in downtown Kabul,"2/1/2001: A bomb hidden in a sewer drain exploded in front of the Tribal Affairs Ministry in downtown Kabul, Kabul, Afghanistan.  No one was injured in the explosion; however, a brick wall near the ministry was damaged.  The Taliban blamed members of the opposition for the attack but they deny any involvement.  This is one of a series of bombings that occurred that day.",1,1,1,0,,,1,1,0,3,Bombing/Explosion,,,,,2,Government (General),21.0,Government Building/Facility/Office,Taliban government,Tribal Affairs Ministry building,4.0,Afghanistan,,,,,,,,,,,,,,,,,Opposition Group,,,,,,"Specific motive is unknown; however, the Taliban claims that the attacks were intended to undermine security.",1.0,,,-99.0,0.0,0.0,,,,,,,,,,6,Explosives/Bombs/Dynamite,16.0,Unknown Explosive Type,,,,,,,,,,,,,A bomb hidden in a sewer pipe outside of the ministry,0.0,0.0,0.0,0.0,0.0,0.0,1,4.0,Unknown,,A brick wall in front of the ministry was damaged in the explosion,0.0,,,,,,,,,,,,,,,,,"""Update 1 - Three explosions in Afghan capital Kabul,"" Reuters, February 1, 2001.","""Three explosions rock Kabul; no one hurt,"" Associated Press, February 1, 2001.","""Three explosions rock Afghan capital,"" Agence France-Presse, February 1, 2001.",UMD Schmid 2012,-9,-9,0,-9,"200102010001, 200102010006",2-1-2001,2001-02-01,2001-02-01,31
200102010006,2001,2,1,,0,,4,Afghanistan,6,South Asia,Kabul,Kabul,34.533056,69.166111,1.0,0,The compound of the Kabul Hotel in downtown Kabul,"2/1/2001: A bomb exploded in compound of the Taliban-owned Kabul Hotel in downtown Kabul, Kabul, Afghanistan.  No one was injured in the explosion and there was only minor damage; however, the explosion caused panic amongst the guests.  The Taliban blamed members of the opposition for the attack but they deny any involvement.  This is one of a series of bombings that occurred that day.",1,1,1,0,,,1,1,0,3,Bombing/Explosion,,,,,1,Business,8.0,Hotel/Resort,Taliban business,The Taliban-owned Kabul Hotel,4.0,Afghanistan,14.0,Private Citizens & Property,76.0,House/Apartment/Residence,Civilians,Residents at the Kabul Hotel,4.0,Afghanistan,,,,,,,,,Opposition Group,,,,,,"Specific motive is unknown; however, the Taliban claims that the attacks were intended to undermine security.",1.0,,,-99.0,0.0,0.0,,,,,,,,,,6,Explosives/Bombs/Dynamite,16.0,Unknown Explosive Type,,,,,,,,,,,,,A bomb hidden in a container in the hotel compound,0.0,0.0,0.0,0.0,0.0,0.0,1,4.0,Unknown,,Several windows were broken in the explosion,0.0,,,,,,,,,,,,,,,,,"""Update 1 - Three explosions in Afghan capital Kabul,"" Reuters, February 1, 2001.","""Three explosions rock Kabul; no one hurt,"" Associated Press, February 1, 2001.","""Three explosions rock Afghan capital,"" Agence France-Presse, February 1, 2001.",UMD Schmid 2012,-9,-9,0,-9,"200102010001, 200102010005",2-1-2001,2001-02-01,2001-02-01,31
200102100004,2001,2,10,,0,,4,Afghanistan,6,South Asia,Kabul,Kabul,34.533056,69.166111,1.0,0,Outside a government office located near Zarnigar Park,"2/10/2001: A bomb exploded outside of a government building in Kabul, Kabul province, Afghanistan.  Four people were injured in the explosion and a nearby mosque was damaged.  No group claimed responsibility for the incident; however, the Taliban accused the opposition for orchestrating the attack.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,14,Private Citizens & Property,67.0,Unnamed Civilian/Unspecified,Civilians,Civilians in the vicinity of Zarnigar Park,4.0,Afghanistan,,,,,,,,,,,,,,,,,Opposition Group,,,,,,"Specific motive is unknown; however, the Taliban blames the opposition for the attack and claims that the motive was to undermine security.",1.0,,,-99.0,0.0,0.0,,,,,,,,,,6,Explosives/Bombs/Dynamite,16.0,Unknown Explosive Type,,,,,,,,,,,,,,0.0,0.0,0.0,4.0,0.0,0.0,1,4.0,Unknown,,A fence around a mosque was damaged,0.0,,,,,,,,,,,,,,,,Sources imply that the explosion destroyed a wooden fence that acted like shrapnel and injured civilians in the vicinity.,"""Update 1 - Bombs explode in two Afghan cities, four hurt,"" Reuters, February 10, 2001.","""Bomb blast in Afghan capital injures four,"" Agence France-Presse, February 10, 2001.","""Bomb blast in Afghan capital injures four people,"" Xinhua News Agency, February 10, 2001.",UMD Schmid 2012,-9,-9,0,-9,,2-10-2001,2001-02-10,2001-02-10,40
200108170016,2001,8,17,,0,,4,Afghanistan,6,South Asia,Bamyan,Unknown,34.90733,67.189449,4.0,0,The incident occurred in the mountainous area around Bamyan.,"08/17/2001: An attack on a refugee camp in Bamian, Afghanistan was carried out by the Taliban. Over 400 tents were burned and cattle stolen in the attack. No injuries were reported.",1,1,1,0,,,0,1,0,7,Facility/Infrastructure Attack,,,,,13,Other,65.0,Refugee Camp,Civilians,"Civilians in a Refugee Camp near Bamyan, Afghanistan",4.0,Afghanistan,,,,,,,,,,,,,,,,,Taliban,,,,,,Unknown,0.0,,,,,0.0,,,,,,,,,,8,Incendiary,18.0,Arson/Fire,13.0,Unknown,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,1,3.0,Minor (likely < $1 million),,400 tents were burned and an indeterminate number of livestock was stolen.,0.0,,,,,,,,,,,,,,,,,"“Mashhad radio: Taleban attack displaced people in central Afghanistan,” Voice of the Islamic Republic of Iran, August 18, 2001.","“Taliban set 400 farmers' tents on fire, steal cattle,"" IRNA, August 17, 2001.",,CETIS,0,0,0,0,,8-17-2001,2001-08-17,2001-08-17,228
200109100001,2001,9,10,,0,,4,Afghanistan,6,South Asia,Takhar,Khodja Baha ud din,37.345278,69.535,1.0,0,,"09/10/2001: Ahmed Shah Masood, the leader of Afghanistan's anti-Taliban opposition, was seriously injured when two Algerians posing as television journalists appeared to detonate a bomb concealed in their camera. His aide, Azim Suhail, was killed in the attack. The attack occurred in Khodja Bahauddin, in northern Afghanistan's Takhar province. One of the bombers died in the explosion and Mr. Masood's guards shot dead the second Algerian attacker as he tried to escape. Although suspect of being behind the attack, the Taliban denied responsibility.",1,1,1,0,,,0,1,1,3,Bombing/Explosion,,,,,2,Government (General),15.0,Politician or Political Party Movement/Meeting/Rally,Afghanistan Opposition,"Ahmed Shah Masood, Afghanistan opposition leader",4.0,Afghanistan,,,,,,,,,,,,,,,,,Taliban,,,,,,Unknown,1.0,,,2.0,1.0,0.0,,,,,,,,,,6,Explosives/Bombs/Dynamite,13.0,Suicide (carried bodily by human being),,,,,,,,,,,,,,3.0,0.0,2.0,1.0,0.0,0.0,0,,,,,0.0,,,,,,,,,,,,,,,,,"Luke Harding, “Afghan Rebel Leader Blown Up in Assassination Attempt,” The Guardian, September 11, 2001.","""Camera Bomb Injures Leader,” The Herald Sun, September 10, 2001.",,CETIS,0,0,0,0,,9-10-2001,2001-09-10,2001-09-10,252
200109260002,2001,9,26,,0,,4,Afghanistan,6,South Asia,Kabul,Kabul,34.533056,69.166111,1.0,0,,"09/26/2001: A mob of thousands set fire to the abandoned United States Embassy in Kabul, Afghanistan. Although most of the perpetrators were pro-Taliban government workers and students, no group claimed responsibility for the attack.",1,1,1,1,2.0,Other Crime Type,0,1,0,7,Facility/Infrastructure Attack,,,,,7,Government (Diplomatic),46.0,Embassy/Consulate,United States Department of State,US Embassy in Kabul,217.0,United States,,,,,,,,,,,,,,,,,Taliban,,,,,,Unknown,1.0,,,,0.0,0.0,,,,,,,,,,8,Incendiary,18.0,Arson/Fire,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,Minor (likely < $1 million),,The abandoned US Embassy in Kabul was set on fire.  Several of the outer buildings in the compound burned down.  Numerous abandoned vehicles in the compound were torched as well.,0.0,,,,,,,,,,,,,,,,"The protesters were heard shouting ""death to Bush"" and ""we will support Islam and bin Laden.""","""Kabul Embassy Building Torched; NATO Meets on Terror,” Agence France Presse, September 26, 2001.","""Kabul Embassy Attacked, Taliban Say US Strike Threat Recedes,” Agence France Presse, September 26, 2001.","""US Embassy Compound Ablaze,” Hobart Mercury, September 27, 2001.",CETIS,0,1,1,1,,9-26-2001,2001-09-26,2001-09-26,268
200204080001,2002,4,8,,0,,4,Afghanistan,6,South Asia,Nangarhar,Jalalabad,34.434166999999995,70.447778,1.0,0,,"04/08/2002: A bomb exploded 10 meters from the car carrying Afghan Defense Minister General Mohammad Qasim Fahim. Fahim survived, but 10 civilians were killed and approximately 80 civillians injured. Al Qa'ida later claimed responsibility.",1,1,1,0,,,0,0,0,3,Bombing/Explosion,,,,,2,Government (General),18.0,"Government Personnel (excluding police, military)",Afghani Defense Minister,Mohammad Qasim Fahim,4.0,Afghanistan,14.0,Private Citizens & Property,67.0,Unnamed Civilian/Unspecified,Civilians,Civilians in Jalabad,4.0,Afghanistan,,,,,,,,,Al-Qa`ida,,,,,,Unknown,0.0,,,,0.0,1.0,2.0,Call (post-incident),,,,,,,-9.0,6,Explosives/Bombs/Dynamite,16.0,Unknown Explosive Type,,,,,,,,,,,,,,10.0,0.0,0.0,80.0,0.0,0.0,0,,,,,0.0,,,,,,,,,,,,,,,,,"""Afghanistan: Al-Qaeda claim they attempted to kill Afghan Minister,"" InfoProd, 04/14/2002.","""Iran: Kharrazi phones Afghan minister following assassination attempt,"" BBC Monitoring International Reports, 04/09/2002.","""2nd Roundup: Bomb spares Afghan defence minister, kills at least four,"" Deutsche Presse-Agentur, 04/08/2002.",CETIS,0,1,0,1,,4-8-2002,2002-04-08,2002-04-08,462
