,Unnamed: 0,eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubtterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,nperps,nperpcap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode2_txt,claim3,claimmode3,claimmode3_txt,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,ransomnote,hostkidoutcome,hostkidoutcome_txt,nreleased,addnotes,scite1,scite2,scite3,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related
2419,22056,200101070007,2001,1,7,,1,2001-01-10,4,Afghanistan,6,South Asia,Bamyan,Yakawlang,34.733333,66.966667,1.0,0,Yakawlang town and the surrounding district,"1/7/2001: Taliban militia regained control of Yakawlang town, Bamyan, Afghanistan.  For the next three days, the Taliban proceeded to go from house to house, gathering and shooting the local men.  Reports indicate that at least 170 people were killed in the attack.  Sources indicate that the orders for the massacre came from Taliban leader Mullah Mohammed Omar; Omar denies the incident took place.",1,1,1,0,,,0,1,0,2,Armed Assault,,,,,14,Private Citizens & Property,67.0,Unnamed Civilian/Unspecified,Civilians,Civilians living in the vicinity of Yakawlang,4.0,Afghanistan,,,,,,,,,,,,,,,,,Taliban,,,,,,"Specific motive is unknown; however, survivors report that they were targeted because they were of the same ethnic background as the attackers.",0.0,,,-99.0,-99.0,0.0,,,,,,,,,,5,Firearms,5.0,Unknown Gun Type,,,,,,,,,,,,,The victims were shot in the head,150.0,0.0,0.0,,0.0,0.0,-9,,,,,-9.0,,,,,,,,,,,,,,,,"Sources provide different accounts of the number of dead, the location of the killing, and the style of killing.","""Taliban recapture central Afghan district,"" Agence France-Presse, January 8, 2001.","""Taleban killed hundreds of Afghans - reports,"" Reuters, February 19, 2001.","""Afghanistan - Taleban accused of mass killing,"" Pakistan Press International, February 19, 2001.",UMD Schmid 2012,0,0,0,0,
2431,22139,200101220006,2001,1,22,,0,,4,Afghanistan,6,South Asia,Kabul,Kabul,34.533056,69.166111,1.0,0,Near a United Nations building and the unoccupied Iranian Embassy in central Kabul,"1/22/2001: A bomb exploded near the unoccupied Iranian Embassy and a United Nations building in central Kabul, Kabul, Afghanistan.  It is unclear which of the two buildings were the intended target.  No one was injured in the attack, but the explosion damaged a wall and a tree in the area.  No group claimed responsibility for the attack; however, the Taliban blames the opposition and states that the explosion was intended to stir up tension between the Taliban and Iran.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,7,Government (Diplomatic),47.0,"International Organization (peacekeeper, aid agency, compound)",United Nations or Iranian government,A United Nations building or a defunct Iranian Embassy in Kabul,94.0,Iran,,,,,,,,,,,,,,,,,Opposition Group,,,,,,The Taliban claims that the attack was intended to stir up tension between them and Iran,1.0,,,-99.0,0.0,0.0,,,,,,,,,,6,Explosives/Bombs/Dynamite,16.0,Unknown Explosive Type,,,,,,,,,,,,,A bomb planted in a drainpipe,0.0,0.0,0.0,0.0,0.0,0.0,1,4.0,Unknown,,"A cement wall was damaged, as was a tree",0.0,,,,,,,,,,,,,,,,,"""Bomb explodes near Iranian Embassy, UN building,"" Associated Press, January 22, 2001.","""Blasts shake Afghan capital,"" Agence France-Presse, January 23, 2001.","""Fifth explosion in week hits Afghan capital,"" Reuters, January 23, 2001.",UMD Schmid 2012,-9,-9,1,1,
2436,22190,200102010001,2001,2,1,,0,,4,Afghanistan,6,South Asia,Kabul,Kabul,34.533056,69.166111,1.0,0,Near the ministry of education in downtown Kabul,"2/1/2001: A bomb exploded near the Ministry of Education in downtown Kabul, Kabul, Afghanistan.  No one was injured in the explosion; however, the windows of two nearby shops were damaged.  The Taliban blamed members of the opposition for the attack but they deny any involvement.  This is one of a series of bombings that occurred that day.",1,1,1,0,,,1,1,0,3,Bombing/Explosion,,,,,2,Government (General),21.0,Government Building/Facility/Office,Taliban government,Ministry of Education building,4.0,Afghanistan,,,,,,,,,,,,,,,,,Opposition Group,,,,,,"Specific motive is unknown; however, the Taliban claims that the attacks were intended to undermine security.",1.0,,,-99.0,0.0,0.0,,,,,,,,,,6,Explosives/Bombs/Dynamite,16.0,Unknown Explosive Type,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,4.0,Unknown,,Windows in near-by stores were broken in the explosion,0.0,,,,,,,,,,,,,,,,,"""Update 1 - Three explosions in Afghan capital Kabul,"" Reuters, February 1, 2001.","""Three explosions rock Kabul; no one hurt,"" Associated Press, February 1, 2001.","""Three explosions rock Afghan capital,"" Agence France-Presse, February 1, 2001.",UMD Schmid 2012,-9,-9,0,-9,"200102010005, 200102010006"
2437,22193,200102010005,2001,2,1,,0,,4,Afghanistan,6,South Asia,Kabul,Kabul,34.533056,69.166111,1.0,0,In front of the tribal affairs ministry in downtown Kabul,"2/1/2001: A bomb hidden in a sewer drain exploded in front of the Tribal Affairs Ministry in downtown Kabul, Kabul, Afghanistan.  No one was injured in the explosion; however, a brick wall near the ministry was damaged.  The Taliban blamed members of the opposition for the attack but they deny any involvement.  This is one of a series of bombings that occurred that day.",1,1,1,0,,,1,1,0,3,Bombing/Explosion,,,,,2,Government (General),21.0,Government Building/Facility/Office,Taliban government,Tribal Affairs Ministry building,4.0,Afghanistan,,,,,,,,,,,,,,,,,Opposition Group,,,,,,"Specific motive is unknown; however, the Taliban claims that the attacks were intended to undermine security.",1.0,,,-99.0,0.0,0.0,,,,,,,,,,6,Explosives/Bombs/Dynamite,16.0,Unknown Explosive Type,,,,,,,,,,,,,A bomb hidden in a sewer pipe outside of the ministry,0.0,0.0,0.0,0.0,0.0,0.0,1,4.0,Unknown,,A brick wall in front of the ministry was damaged in the explosion,0.0,,,,,,,,,,,,,,,,,"""Update 1 - Three explosions in Afghan capital Kabul,"" Reuters, February 1, 2001.","""Three explosions rock Kabul; no one hurt,"" Associated Press, February 1, 2001.","""Three explosions rock Afghan capital,"" Agence France-Presse, February 1, 2001.",UMD Schmid 2012,-9,-9,0,-9,"200102010001, 200102010006"
2438,22194,200102010006,2001,2,1,,0,,4,Afghanistan,6,South Asia,Kabul,Kabul,34.533056,69.166111,1.0,0,The compound of the Kabul Hotel in downtown Kabul,"2/1/2001: A bomb exploded in compound of the Taliban-owned Kabul Hotel in downtown Kabul, Kabul, Afghanistan.  No one was injured in the explosion and there was only minor damage; however, the explosion caused panic amongst the guests.  The Taliban blamed members of the opposition for the attack but they deny any involvement.  This is one of a series of bombings that occurred that day.",1,1,1,0,,,1,1,0,3,Bombing/Explosion,,,,,1,Business,8.0,Hotel/Resort,Taliban business,The Taliban-owned Kabul Hotel,4.0,Afghanistan,14.0,Private Citizens & Property,76.0,House/Apartment/Residence,Civilians,Residents at the Kabul Hotel,4.0,Afghanistan,,,,,,,,,Opposition Group,,,,,,"Specific motive is unknown; however, the Taliban claims that the attacks were intended to undermine security.",1.0,,,-99.0,0.0,0.0,,,,,,,,,,6,Explosives/Bombs/Dynamite,16.0,Unknown Explosive Type,,,,,,,,,,,,,A bomb hidden in a container in the hotel compound,0.0,0.0,0.0,0.0,0.0,0.0,1,4.0,Unknown,,Several windows were broken in the explosion,0.0,,,,,,,,,,,,,,,,,"""Update 1 - Three explosions in Afghan capital Kabul,"" Reuters, February 1, 2001.","""Three explosions rock Kabul; no one hurt,"" Associated Press, February 1, 2001.","""Three explosions rock Afghan capital,"" Agence France-Presse, February 1, 2001.",UMD Schmid 2012,-9,-9,0,-9,"200102010001, 200102010005"
2446,22239,200102100004,2001,2,10,,0,,4,Afghanistan,6,South Asia,Kabul,Kabul,34.533056,69.166111,1.0,0,Outside a government office located near Zarnigar Park,"2/10/2001: A bomb exploded outside of a government building in Kabul, Kabul province, Afghanistan.  Four people were injured in the explosion and a nearby mosque was damaged.  No group claimed responsibility for the incident; however, the Taliban accused the opposition for orchestrating the attack.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,14,Private Citizens & Property,67.0,Unnamed Civilian/Unspecified,Civilians,Civilians in the vicinity of Zarnigar Park,4.0,Afghanistan,,,,,,,,,,,,,,,,,Opposition Group,,,,,,"Specific motive is unknown; however, the Taliban blames the opposition for the attack and claims that the motive was to undermine security.",1.0,,,-99.0,0.0,0.0,,,,,,,,,,6,Explosives/Bombs/Dynamite,16.0,Unknown Explosive Type,,,,,,,,,,,,,,0.0,0.0,0.0,4.0,0.0,0.0,1,4.0,Unknown,,A fence around a mosque was damaged,0.0,,,,,,,,,,,,,,,,Sources imply that the explosion destroyed a wooden fence that acted like shrapnel and injured civilians in the vicinity.,"""Update 1 - Bombs explode in two Afghan cities, four hurt,"" Reuters, February 10, 2001.","""Bomb blast in Afghan capital injures four,"" Agence France-Presse, February 10, 2001.","""Bomb blast in Afghan capital injures four people,"" Xinhua News Agency, February 10, 2001.",UMD Schmid 2012,-9,-9,0,-9,
2458,22410,200103150003,2001,3,15,,0,,4,Afghanistan,6,South Asia,Nangarhar,Jalalabad,34.434166999999995,70.447778,1.0,0,"Near the consulate of Pakistan, in an Islamic seminary","03/15/2001: A bomb exploded outside the walls of the consulate of Pakistan, in an Islamic seminary, in Jalalabad, Nangarhar Province, Afghanistan.  No one was injured and little damage was done.  No group claimed responsibility for the attack.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,7,Government (Diplomatic),46.0,Embassy/Consulate,Consulate of Pakistan,Consulate of Pakistan,153.0,Pakistan,15.0,Religious Figures/Institutions,86.0,Place of Worship,Islamic seminary,Islamic seminary outside consulate,4.0,Afghanistan,,,,,,,,,Unknown,,,,,,"Although the specific motive was unknown, the bombing followed clashes between Pakistani and Afghanistan's Taliban forces along the disputed border regions.  The leader of the Taliban forces then issued a warning to Pakistan's head officials to remove themselves from the border region.  It was unclear whether the incident in question was related to these other events.",0.0,,,-99.0,0.0,0.0,,,,,,,,,,6,Explosives/Bombs/Dynamite,16.0,Unknown Explosive Type,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,4.0,Unknown,,"Sources note that little damage was done, but provide no details",0.0,,,,,,,,,,,,,,,,,"""Taliban gives ultimatum to Pak to hand over border posts,"" Press Trust of India, March 17, 2001.","""Bomb rocks Pakistani consulate in Jalalabad, Afghanistan,"" Peshawar Afghan Islamic Press, March 16, 2001.",,UMD Schmid 2012,-9,-9,1,1,
2460,22422,200103170004,2001,3,17,,0,,4,Afghanistan,6,South Asia,Kabul,Kabul,34.533056,69.166111,1.0,0,,"03/17/2001: Unknown attackers killed five people and injured eight others in a car bomb attack in the Karte Parwan District of Kabul, Afghanistan. No group claimed responsibility for the bombing.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,14,Private Citizens & Property,67.0,Unnamed Civilian/Unspecified,Civilians,Civilians in Kabul,4.0,Afghanistan,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0.0,,,,0.0,0.0,,,,,,,,,,6,Explosives/Bombs/Dynamite,15.0,Vehicle,,,,,,,,,,,,,A car bomb exploded near the Interncontinental Hotel in Kabul.,5.0,0.0,0.0,8.0,0.0,0.0,1,3.0,Minor (likely < $1 million),,,0.0,,,,,,,,,,,,,,,,,"""Car Bomb Rocks Taliban-Ruled Kabul, Five Killed,” Deutsche Presse-Agentur, March 17, 2001.",,,CETIS,-9,-9,0,-9,
2472,22622,200105040001,2001,5,4,,0,,4,Afghanistan,6,South Asia,Herat,Herat,34.341944,62.203056,1.0,0,,"05/04/2001: A mosque in Herat, Afghanistan was bombed, killing ten people, including an Iranian Sunni cleric, Mowlavi Musa Karimpur, and injuring 30 other people. The perpetrators were not known.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,15,Religious Figures/Institutions,86.0,Place of Worship,Mosque,"Mosque in Herat, Afghanistan",4.0,Afghanistan,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0.0,,,,0.0,0.0,,,,,,,,,,6,Explosives/Bombs/Dynamite,16.0,Unknown Explosive Type,,,,,,,,,,,,,,10.0,0.0,0.0,30.0,0.0,0.0,1,3.0,Minor (likely < $1 million),,,0.0,,,,,,,,,,,,,,,,,"""Iran: Radio comments on assassination of Iranian clergy in Herat,” Tehran Voice of the Islamic Republic of Iran External Service, May 6, 2001.","""Tehran condemns assassination of Iranian Sunni cleric in Afghanistan,” Tehran IRNA, May 6, 2001.","""Iran to send fact-finding mission to Herat,” Agence France Presse, May 5, 2001.",CETIS,-9,-9,0,-9,
2529,23152,200108170016,2001,8,17,,0,,4,Afghanistan,6,South Asia,Bamyan,Unknown,34.90733,67.189449,4.0,0,The incident occurred in the mountainous area around Bamyan.,"08/17/2001: An attack on a refugee camp in Bamian, Afghanistan was carried out by the Taliban. Over 400 tents were burned and cattle stolen in the attack. No injuries were reported.",1,1,1,0,,,0,1,0,7,Facility/Infrastructure Attack,,,,,13,Other,65.0,Refugee Camp,Civilians,"Civilians in a Refugee Camp near Bamyan, Afghanistan",4.0,Afghanistan,,,,,,,,,,,,,,,,,Taliban,,,,,,Unknown,0.0,,,,,0.0,,,,,,,,,,8,Incendiary,18.0,Arson/Fire,13.0,Unknown,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,1,3.0,Minor (likely < $1 million),,400 tents were burned and an indeterminate number of livestock was stolen.,0.0,,,,,,,,,,,,,,,,,"“Mashhad radio: Taleban attack displaced people in central Afghanistan,” Voice of the Islamic Republic of Iran, August 18, 2001.","“Taliban set 400 farmers' tents on fire, steal cattle,"" IRNA, August 17, 2001.",,CETIS,0,0,0,0,
