eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubtterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,nperps,nperpcap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode2_txt,claim3,claimmode3,claimmode3_txt,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,ransomnote,hostkidoutcome,hostkidoutcome_txt,nreleased,addnotes,scite1,scite2,scite3,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related,strdate,datetime,date,idate
200101000001,2001,1,0,"January 8-9, 2001",0,,45,Colombia,3,South America,Valle del Cauca,Unknown,3.800889,-76.641271,4.0,0,,"1/8/2001: Paramilitaries killed three farmers in Valle province, Colombia.  According to authorities, the farmers were wearing sneakers that had been part of a shipment stolen by Revolutionary Armed Forces of Colombia (FARC) two weeks prior.  Authorities believe that the paramilitaries targeted the farmers for possible connections to FARC.",1,0,1,1,3.0,Intra/Inter-group Conflict,0,1,0,9,Unknown,,,,,14,Private Citizens & Property,72.0,Farmer,Civilians,Farmers in Valle province,45.0,Colombia,,,,,,,,,,,,,,,,,Paramilitaries,,,,,,"Specific motive is unknown; however, authorities believe that the farmers were targeted because they were wearing shoes that had come from a shipment that the Revolutionary Armed Forces of Colombia (FARC) had hijacked.",1.0,,,-99.0,0.0,0.0,,,,,,,,,,13,Unknown,,,,,,,,,,,,,,,No specific mention of weapons was made,3.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,,,,,,,,,,,,,,,,Sources imply that the attack may have taken place near Restrepo.,"""Twenty murdered in attacks across Colombia attributed to paramilitaries,"" Agence France-Presse, January 10, 2001.","""Colombia violence leaves 35 dead,"" Agence France-Presse, January 10, 2001.",,UMD Schmid 2012,-9,-9,0,-9,,1-0-2001,2001-01-01,2001-01-01,0
200101010002,2001,1,1,,1,2001-01-07,45,Colombia,3,South America,Bogota,Bogota district,4.5981,-74.07603,3.0,0,The victims were taken 180 miles northeast of Bogota,"01/01/2001: The United Self-defense Forces of Colombia (AUC - Las Autodefensas Unidas de Colombia) kidnapped 24 peasants in Northeastern Colombia. 17 were released on January 7, 2001 after it was clear they had no connection to the guerilla organizations in the area. The fate of the rest of the hostages was unknown.",1,1,1,0,,,0,1,0,6,Hostage Taking (Kidnapping),,,,,14,Private Citizens & Property,71.0,Race/Ethnicity Identified,Civilians,Colombian Peasants,45.0,Colombia,,,,,,,,,,,,,,,,,United Self Defense Units of Colombia (AUC),,,,,,The peasants were taken until it could be proven that they had no connections to the leftist guerrilla groups.,0.0,,,,0.0,-9.0,,,,,,,,,-9.0,13,Unknown,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,1.0,24.0,0.0,,-99.0,,,0.0,,,,,,6.0,Combination,17.0,The fate of the seven hostages not released with the others was not reported.,"“Colombia – Kidnapping 17 Kidnap Victims Freed in Northern Colombia,” EFE News Service, January 7, 2001.","“Paramilitary Group Releases 17 Peasants it Captured Earlier This Week,” Associated Press, January 7, 2001.",,CETIS,0,0,0,0,,1-1-2001,2001-01-01,2001-01-01,0
200101030006,2001,1,3,,0,,45,Colombia,3,South America,Antioquia,Yolombo,6.5984490000000005,-75.01155899999998,1.0,0,"In a rural area of Antioquia, northwestern Colombia","1/3/2001: Approximately 100 suspected paramilitary members attacked the village of Yolombo, Antioquia, Colombia.  They shot and killed 11 members of the village whom they suspected were guerrilla sympathizers.  No group has claimed responsibility for the attack.",1,1,1,0,,,0,1,0,2,Armed Assault,,,,,14,Private Citizens & Property,67.0,Unnamed Civilian/Unspecified,Civilians,Civilians in Yolombo,45.0,Colombia,,,,,,,,,,,,,,,,,Paramilitaries,,,,,,Sources report that the assailants were killing the villagers because they suspected them of cooperating with guerrilla forces,1.0,,,100.0,0.0,0.0,,,,,,,,,,5,Firearms,5.0,Unknown Gun Type,,,,,,,,,,,,,,11.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,,,,,,,,,,,,,,,,,"""At least 11 murdered in northwest Colombia,"" Agence France-Presse, January 4, 2001.","""Eleven killed in northwestern Colombia town,"" Reuters, January 4, 2001.","Michael Easterbrook, ""Colombia envoy on mission that could decide fate of peace talks,"" Associated Press, January 4, 2001.",UMD Schmid 2012,-9,-9,0,-9,,1-3-2001,2001-01-03,2001-01-03,2
200101050006,2001,1,5,,0,,45,Colombia,3,South America,Antioquia,Guatape,6.23384,-75.1617,1.0,1,"Between El Penol and Guatape, 142 miles from Bogota","1/5/2001: Unidentified gunmen shot and killed at least 12 people near Guatape, Antioquia state, Colombia.  The assailants pulled the victims from the house and shot those they suspected of collaborating with rivals.  Authorities suspect that the attack may have been perpetrated by members of United Self-Defense Groups (AUC).",1,1,1,0,,,0,1,0,2,Armed Assault,,,,,14,Private Citizens & Property,67.0,Unnamed Civilian/Unspecified,Civilians,Civilians living near Guatape,45.0,Colombia,,,,,,,,,,,,,,,,,United Self Defense Units of Colombia (AUC),,,,,,The assailants went from house to house looking for villagers they suspected had cooperated with a rival group.,1.0,,,-99.0,0.0,0.0,,,,,,,,,,5,Firearms,4.0,Rifle/Shotgun (non-automatic),,,,,,,,,,,,,,12.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,,,,,,,,,,,,,,,,"Sources provide different locations for the incident.  One source states it occurred in Guatape while other sources state it occurred between El Penol and Guatape.  In addition, sources differ in the number of fatalities; counts range between 12 and 13 victims.","""Thirteen die in second regional massacre,"" Associated Press, January 5, 2001.","""Twelve dead in second Colombia massacre in two days,"" Reuters, January 5, 2001.","""Twelve Colombian farm workers killed - paramilitaries suspected,"" Radio Cadena Nacional, January 5, 2001.",UMD Schmid 2012,0,0,0,0,,1-5-2001,2001-01-05,2001-01-05,4
200101060001,2001,1,6,,0,,45,Colombia,3,South America,Arauca,Unknown,6.547306,-71.00223100000002,4.0,0,The attack occurred in the eastern Arauca Department which borders the country of Venezuela.,"01/06/2001: Members of the National Liberation Army (NLA) were suspected of dynamiting a section of the Cano Limon-Covenas oil pipeline in the Arauca Department, Colombia. The attack did not result in any casualties and the extent of damage was not reported.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,1,Business,1.0,Gas/Oil,Caño Limón-Coveñas pipeline,A section of the Caño Limón-Coveñas pipeline,999.0,Multinational,,,,,,,,,,,,,,,,,National Liberation Army of Colombia (ELN),,,,,,Unknown,1.0,,,,0.0,0.0,,,,,,,,,,6,Explosives/Bombs/Dynamite,14.0,Time Fuse,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,4.0,Unknown,,,0.0,,,,,,,,,,,,,,,,The Caño Limón-Coveñas pipeline travels 780 kilometers to Coveñas on Colombia's Caribbean coastline. The Colombian oil company Empresa de Petroleos de Colombia (Ecopetrol) and the U.S. company Occidental Petroleum Inc. jointly own the pipeline.,"Center For Terrorism and Intelligence Studies, Critical Infrastructure Terrorist Attack Database, San Jose, CA: Akribis Group, July, 7 2006.","“Rebels Sabotage Cano Limon Pipeline,” Business News Americas, January 8, 2001.","“ELN Blaimed for Cano-Limon Pipeline Attack,” El Colombiano, January 8, 2001.",CETIS,0,1,1,1,,1-6-2001,2001-01-06,2001-01-06,5
200101060002,2001,1,6,,0,,45,Colombia,3,South America,Santander,Barrancabermeja,7.060051,-73.853115,1.0,0,,"01/06/2001: One individual was killed while 10 were wounded in a bomb attack on the town of Barrancabermeja, Colombia. Authorities believe that attack was carried out by the National Liberation Army (NLA), but no one has claimed responsibility.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,14,Private Citizens & Property,67.0,Unnamed Civilian/Unspecified,Civilians,Civilians in Barrancabermeja,45.0,Colombia,,,,,,,,,,,,,,,,,National Liberation Army of Colombia (ELN),,,,,,Unknown,1.0,,,,,0.0,,,,,,,,,,6,Explosives/Bombs/Dynamite,16.0,Unknown Explosive Type,,,,,,,,,,,,,,1.0,0.0,0.0,10.0,0.0,0.0,-9,,,,,0.0,,,,,,,,,,,,,,,,,"“Colombia-Bomb Child Killed, 10 Wounded in Colombian Bomb Attack,” EFE News Service, January 6, 2001.","“Violence Without Mercy Continues in Barrancabermeja,” El Espectador, January 8, 2001.",,CETIS,0,0,0,0,,1-6-2001,2001-01-06,2001-01-06,5
200101070001,2001,1,17,,0,,45,Colombia,3,South America,Sucre,Chengue,9.614635,-75.398636,1.0,0,,"01/17/2001: Fifty members of the United Self-defense Forces of Colombia (AUC - Las Autodefensas Unidas de Colombia)  attacked a village in Chengue, Colombia. Estimates are that between 24 and 28 were killed with machetes, stones and sledgehammers.",1,1,1,0,,,0,1,0,2,Armed Assault,,,,,14,Private Citizens & Property,67.0,Unnamed Civilian/Unspecified,Civilians,Chengue civilians,45.0,Colombia,,,,,,,,,,,,,,,,,United Self Defense Units of Colombia (AUC),,,,,,Unknown,0.0,,,50.0,,-9.0,,,,,,,,,-9.0,9,Melee,23.0,Knife or Other Sharp Object,9.0,Melee,21.0,Blunt Object,,,,,,,,,The group also used heavy stones and sledgehammers.,28.0,0.0,0.0,0.0,0.0,0.0,0,,,,,1.0,28.0,0.0,-99.0,,,,0.0,,,,,,4.0,Hostage(s) killed (not during rescue attempt),0.0,"Casualty numbers for this incident conflict across sources. Following GTD protocol, the most reliable estimates are reported here.","Scott Wilson, “Chronicle of a Massacre Foretold; Colombian Villagers Implicate Army in Paramilitary Strike,” Washington Post, January 28, 2001.","“Death Toll From Chengue Paramilitary Attack Put at 28; Mayor Calls For Aid,” British Broadcasting Corporation, January 23, 2001.","“Castano Confirms Paramilitary Responsibility for Massacres in Sucre Cauca,” El Tiempo, January 19, 2001.",CETIS,0,0,0,0,,1-17-2001,2001-01-17,2001-01-17,16
200101090004,2001,1,0,"January 8-9, 2001",0,,45,Colombia,3,South America,Santander,Barrancabermeja,7.060051,-73.853115,1.0,0,The northeastern port city of Barrancabermeja,"1/8/2001: Unidentified gunmen killed eight people in Barrancabermeja, Santander Department, Colombia.  No group has claimed responsibility for the attack; however, authorities are attributing the attack to right-wing paramilitaries.",1,1,1,0,,,0,1,0,2,Armed Assault,,,,,14,Private Citizens & Property,67.0,Unnamed Civilian/Unspecified,Civilians,Civilians located in Barrancabermeja,45.0,Colombia,,,,,,,,,,,,,,,,,Right-Wing Paramilitaries,,,,,,Unknown,1.0,,,-99.0,0.0,0.0,,,,,,,,,,5,Firearms,5.0,Unknown Gun Type,,,,,,,,,,,,,,8.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,,,,,,,,,,,,,,,,Barrancabermeja is the location of the country's largest petroleum refinery.,"""Twenty murdered in attacks across Colombia attributed to paramilitaries,"" Agence France-Presse, January 10, 2001.","""Colombia violence leaves 35 dead,"" Agence France-Presse, January 10, 2001.",,UMD Schmid 2012,-9,-9,0,-9,,1-0-2001,2001-01-01,2001-01-01,0
200101090006,2001,1,9,,1,2001-01-10,45,Colombia,3,South America,Antioquia,Barbosa,6.43711,-75.3313,1.0,1,150 miles northwest of Bogota,"1/9/2001: Members of the National Liberation Army of Colombia (ELN) kidnapped 56 people at a roadblock near Barbosa, Antioquia, Colombia.  Government forces attacked the guerrillas on January 10, 2001, and freed the captives.  One assailant was killed; all of the hostages were released unharmed.",1,1,1,0,,,0,1,0,6,Hostage Taking (Kidnapping),,,,,14,Private Citizens & Property,67.0,Unnamed Civilian/Unspecified,Civilians,Civilians stopped at a roadblock outside of Barbosa,45.0,Colombia,,,,,,,,,,,,,,,,,National Liberation Army of Colombia (ELN),,,,,,"Specific motive is unknown; however, the attack occurred during a time of increased fighting between the ELN and government forces",0.0,,,-99.0,0.0,0.0,,,,,,,,,,13,Unknown,,,,,,,,,,,,,,,No specific mention of weapons was made,1.0,0.0,1.0,0.0,0.0,0.0,0,,,,,1.0,56.0,0.0,,1.0,,,-9.0,,,,,,5.0,Successful Rescue,56.0,"Sources report that within seven minutes of the rescue helicopters landing, the guerrillas had fled and the hostages were secure.","Will Weissert, ""Colombia's army rescues 56 guerrilla-held kidnap victims,"" Associated Press, January 10, 2001.","Jason Webb, ""Update 1 - Colombian army rescues 56, rebels kidnap 13,"" Reuters, January 10, 2001.","""Political & civil unrest - Colombia,"" Lloyd's Information Casualty Report, January 12, 2001.",UMD Schmid 2012,0,0,0,0,,1-9-2001,2001-01-09,2001-01-09,8
200101090007,2001,1,9,,0,,45,Colombia,3,South America,Antioquia,Carmen de Viboral,6.08314,-75.33544,1.0,1,,"1/9/2001: Unidentified assailants killed five people near Carmen de Viboral, Antioquia, Colombia.  No group has claimed responsibility for the attack; however, authorities attribute the attack to right-wing paramilitaries.",1,1,1,0,,,0,1,0,9,Unknown,,,,,14,Private Citizens & Property,67.0,Unnamed Civilian/Unspecified,Civilians,Civilians located near Carmen de Viboral,45.0,Colombia,,,,,,,,,,,,,,,,,Right-Wing Paramilitaries,,,,,,Unknown,1.0,,,-99.0,0.0,0.0,,,,,,,,,,13,Unknown,,,,,,,,,,,,,,,No specific mention of weapons was made,5.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,,,,,,,,,,,,,,,,,"""Twenty murdered in attacks across Colombia attributed to paramilitaries,"" Agence France-Presse, January 10, 2001.","""Colombia violence leaves 35 dead,"" Agence France-Presse, January 10, 2001.",,UMD Schmid 2012,-9,-9,0,-9,,1-9-2001,2001-01-09,2001-01-09,8
