gname,mu
"Civil Association for Peace in Colombia, Asocipaz",0.0028814323319846357
Death Squad,0.005762864663969271
Gunmen,0.008644296995953907
Left-Wing Extremists,0.005762864663969271
Left-Wing Guerrillas,0.0028814323319846357
National Liberation Army of Colombia (ELN),0.017288593991907814
Other,0.005762864663969271
Paramilitaries,0.005762864663969271
People's Revolutionary Army (ERP),0.005762864663969271
Popular Liberation Army (EPL),0.011525729327938543
Rebels,0.008644296995953907
Revolutionary Armed Forces of Colombia (FARC),0.023051458655877086
Right-Wing Death Squad,0.005762864663969271
Right-Wing Paramilitaries,0.014407161659923179
United Self Defense Units of Colombia (AUC),0.017288593991907814
