eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubtterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,nperps,nperpcap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode2_txt,claim3,claimmode3,claimmode3_txt,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,ransomnote,hostkidoutcome,hostkidoutcome_txt,nreleased,addnotes,scite1,scite2,scite3,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related,strdate,datetime,date,idate
2.00107E+11,2001,7,11,,0,,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.3,44.4,1,0,A neighborhood,"07/11/2001: One person was wounded and homes in a neighborhood were damaged when three missiles, thought to be 122 millimeter Katyusha rockets, exploded in Baghdad, Al-Karakh district, Iraq.  A group called the Supreme Council for the Islamic Revolution in Iraq claimed responsibility for the incident, but claimed they launched more rockets and that the attack occurred in a different area of the city.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,14,Private Citizens & Property,76,House/Apartment/Residence,Private citizens and property in Baghdad,A residential area of Baghdad,95,Iraq,,,,,,,,,,,,,,,,,Supreme Council for Islamic Revolution in Iraq (SCIRI),,,,,,"The claim by the Supreme Council for the Islamic Revolution in Iraq stated that the attack was aimed at the Iraqi government, and the actions they had taken in the country.",1,,,-99,0,1,10,Unknown,,,,,,,0,6,Explosives/Bombs/Dynamite,11,"Projectile (rockets, mortars, RPGs, etc.)",,,,,,,,,,,,,The weapons were described as a least three 122 millimeter Katyusha rockets.,0,0,0,1,0,0,1,4,Unknown,,Homes in the neighborhood were damaged.,0,,,,,,,,,,,,,,,,"Sources claimed that originally, Iraq blamed Iran for the attack.  According to the statement by the Supreme Council for the Islamic Revolution in Iraq, they fired 16 rockets.  They also claimed that the rockets were fired at government buildings and Sadam Hussein's palaces, not at residential areas.  However, media reports showed damage to homes in a neighborhood and the claimes of damage by the group were not confirmed.","""One injured in missile attack on Baghdad, Iraq blames Iranian agents,"" Agence France-Presse, July 11, 2001.","Farouk Choukri, ""Iraq warns Iran after missile attack on central Baghdad injures one,"" Agence France-Presse, July 11, 2001.","""Iraqi dissidents say they hit Baghdad government offices with Katyusha rockets,"" Associated Press, July 11, 2001.",UMD Schmid 2012,0,0,0,0,,7/11/01,7/11/01,7/11/01,191
2.00202E+11,2002,2,7,,0,,95,Iraq,10,Middle East & North Africa,Unknown,Unknown,,,5,0,This attack occurred in an unspecified location in the Saouira province.,"02/07/2002: In the southern Iraqi Saouira province, barracks of the Iraq Presidential Guard came under mortar fire from a group called Supreme Council for Islamic Revolution in Iraq (SCIRI). The group claimed responsibility in a written statement sent to the Kuwaiti news agency KUNA. The news report states that damages and casualties were caused, but does not specify how much or how many.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,4,Military,27,Military Barracks/Base/Headquarters/Checkpost,Iraq Presidential Guard,Iraq Presidential Guard Barracks in the Saouira Province,95,Iraq,,,,,,,,,,,,,,,,,Supreme Council for Islamic Revolution in Iraq (SCIRI),,,,,,Unknown,0,,,,,1,1,Letter,,,,,,,-9,6,Explosives/Bombs/Dynamite,11,"Projectile (rockets, mortars, RPGs, etc.)",,,,,,,,,,,,,,0,0,0,,0,0,-9,,,,It is unknown if any property was damaged in this attack.,0,,,,,,,,,,,,,,,,,"""Iraqi 'Resistance Group' Shells Iraqi Presidential Guard Position,"" KUNA, February 7, 2002.",,,CETIS,0,0,0,0,,2/7/02,2/7/02,2/7/02,402
2.00204E+11,2002,4,3,,0,,95,Iraq,10,Middle East & North Africa,Sulaymaniyah,Sulaymaniyah,35.54987,45.433493,1,0,,"04/03/2002: Two gunmen attempted to assasinate Barham Salih, head of the Patriotic Union of Kurdistan's regional government, by firing at him at his home in the city of Sulaymaniyah. Both gunmen and five of Salih's bodyguards were killed. Salih escaped unharmed. The gunmen were suspected to be members of the rebel group Jund al-Islam.",1,1,1,0,,,0,0,0,1,Assassination,,,,,2,Government (General),18,"Government Personnel (excluding police, military)",Regional Government of Kurdistan,Barham Salih,95,Iraq,,,,,,,,,,,,,,,,,Ansar al-Islam,,,,,,Unknown,1,,,2,0,0,,,,,,,,,,5,Firearms,5,Unknown Gun Type,,,,,,,,,,,,,,7,0,2,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,"""Seven Killed in Northern Iraq Clash,"" Business Recorder, 04/04/2002.","""Seven Killed in bid to assasinate Kurdish leader in the Northern iraq,"" Middle East News Online, 04/05/2002.","Patrick Cockburn, ""Kurdish Leader survives Saddam Assassination bid,"" The Independent, 04/05/2002.",CETIS,0,0,0,0,,4/3/02,4/3/02,4/3/02,457
2.00302E+11,2003,2,8,,0,,95,Iraq,10,Middle East & North Africa,Unknown,Qamesh Tapa,,,5,0,,"02/08/2003: During the night, Shaukat Haji Mushir, a leading commander of the Patriotic Union of Kurdistan (PUK) was assassinated alongside five others in Qamesh Tapa, near Halabja, during a meeting with Ansar al-Islam terrorist organization who pretended to be defecting from the organization. They were killed by grenades and AK-47 gunfire.  Among the dead were two bodyguards, and four civilians.  The three perpetrators from Ansar al-Islam managed to escape, and kidnapped three PUK guards to the Ansar-al-Islam controlled village of Byara.  Ansar al-Islam claimed responsibility on its website between 02/08/2003 and 02/11/2003, claiming that the assassination was part of a plot to divide Kurdish groups.",1,1,1,0,,,0,1,0,1,Assassination,,,,,22,Violent Political Party,109,Party Official/Candidate/Other Personnel,Patriotic Union of Kurdistan (PUK),Commander: Shaukat Haji Mushir,95,Iraq,,,,,,,,,,,,,,,,,Ansar al-Islam,,,,,,The statement of responsibility claimed that the attack was part of a plan to sow discord among Kurdish political groups opposed to Saddam Hussein and groups like Ansar al-Islam.,0,,,3,0,1,7,"Posted to website, blog, etc.",,,,,,,-9,5,Firearms,2,Automatic Weapon,6,Explosives/Bombs/Dynamite,7,Grenade,,,,,,,,,AK-47s and grenades were used in the attack.,6,0,0,1,0,0,-9,4,Unknown,,Unknown,1,3,0,,-99,,,0,,,,,,7,Unknown,-99,"Another statement on the Ansar website alongside the claim of responsibility for this incident, stated that the PUK had offered 150 Ansar militants great amounts of cash to defect, attack Ansar, allow the PUK to recapture the area, and attack the Kurdistan Democratic Party--the PUK's main political rival.  Ansar al-Islam is well known to be linked to al-Qa'ida.","Stephan Smith, ""Top Iraqi Kurd official assassinated in ambush by al-Qaeda linked group,"" AFP, February 9, 2003.","Borzou Daragahi, ""Attackers kill Kurdish political leader,"" AP, February 9, 2003.","Jonathan S. Landay, ""Alleged al Qaeda-linked group admits to killing general,"" Miami Herald, February 11, 2003.",CETIS,0,0,0,0,,2/8/03,2/8/03,2/8/03,768
2.00302E+11,2003,2,26,,0,,95,Iraq,10,Middle East & North Africa,Sulaymaniyah,Halabjah,35.183333,45.983333,1,0,,"02/26/2003: A suicide bomber detonated himself at a military checkpoint in Halabja, Iraq.  He killed himself, the driver of his car, and two checkpoint guards.  The bomber was traveling in a taxi toward Halabja when he was stopped at the checkpoint.  The guards became suspicious of the bomber, and when asked to step out of the car for inspection, he detonated himself.  The bomb was made of about 10 pounds of explosives stuffed with metal shards.  Local authorities blamed the attack on Ansar-al-Islam, a militant Islamist group.",1,1,1,0,,,0,1,1,3,Bombing/Explosion,,,,,4,Military,36,Military Checkpoint,Iraqi Armed Forces,Kurdish checkpoint at Halabja,95,Iraq,,,,,,,,,,,,,,,,,Ansar al-Islam,,,,,,Unknown,0,,,1,0,0,,,,,,,,,,6,Explosives/Bombs/Dynamite,16,Unknown Explosive Type,,,,,,,,,,,,,"The bomb weighed 10 pounds, and was packed with explosives and metal shards.",4,0,1,0,0,0,-9,4,Unknown,,,0,,,,,,,,,,,,,,,,,"""Turkey's AA Reports 4 Killed in Suicide Bombing by Ansar al-Islam in N Iraq,"" Anatolia, February 26, 2003.","""Kurdish suicide bombing kills 3,"" International Herald Tribune, February 28, 2003.","""Suicide bombing leaves four dead in northern Iraq,"" AP, February 26, 2003.",CETIS,0,0,0,0,,2/26/03,2/26/03,2/26/03,786
2.00303E+11,2003,3,22,,0,,95,Iraq,10,Middle East & North Africa,Sulaymaniyah,Khurmal,35.302275,46.035178,1,0,,"03/22/2003: A car bomb exploded at the Khormal checkpoint in northern Iraq, killing an Australian journalist and three Kurdish fighters, and injuring nine, including another journalist. It was unclear if the taxi driver who detonated the bomb was killed, making it a suicide attack. Sources speculated that the bombing was in retaliation for a U.S. missile attack on an Ansar al-Islam training camp in the area the previous night.",1,1,1,0,,,0,1,1,3,Bombing/Explosion,,,,,10,Journalists & Media,53,Newspaper Journalist/Staff/Facility,Journalists,"Journalists in Khormal, Iraq",999,Multinational,14,Private Citizens & Property,71,Race/Ethnicity Identified,,Kurdish fighters,,,,,,,,,,,Ansar al-Islam,,,,,,Sources speculated that the bombing was in retaliation for the U.S. missile attack on a training camp of Ansar al-Islam in Khormal the night before.,1,,,1,0,0,,,,,,,,,,6,Explosives/Bombs/Dynamite,16,Unknown Explosive Type,,,,,,,,,,,,,The bomb detonated in a taxi car that was passing the checkpoint.,4,0,0,9,0,0,0,,,,,0,,,,,,,,,,,,,,,,,"“Australian Journalist Killed in Kurdistan Car Bomb,” Agence France Presse, March 22, 2003.","“Roundup: Journalist Killed in Car Bomb Attack in Northern Iraq,” Deutsche Press Agentur, March 22, 2003.","“4 Killed, 9 Injured in Suicide Car Bombing in Northern Iraq,” Xinhua News Agency, March 22, 2003.",CETIS,0,1,1,1,,3/22/03,3/22/03,3/22/03,810
2.00308E+11,2003,8,7,,0,,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.3,44.4,1,0,,"08/07/2003: A car bomb killed 11 and wounded 57 near the Jordanian embassy in Baghdad, Iraq. U.S. military officials believed that Ansar al-Islam was responsible for the bombing. The force of the explosion blew cars into the air and propelled segments of guard rails hundreds of yards across the median of a nearby avenue. No group claimed responsibility for the bombing.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,7,Government (Diplomatic),46,Embassy/Consulate,Jordanian Ministry of Foreign Affairs,The Jordanian Embassy in Baghdad,102,Jordan,,,,,,,,,,,,,,,,,Ansar al-Islam,,,,,,Unknown,1,,,,0,0,,,,,,,,,,6,Explosives/Bombs/Dynamite,15,Vehicle,,,,,,,,,,,,,,11,0,0,57,0,0,1,3,Minor (likely < $1 million),,The force of the explosion blew cars into the air and propelled segments of guard rails hundreds of yards across the median of a nearby avenue.,0,,,,,,,,,,,,,,,,Ansar al-Islam reportedly was connected to Al-Qa`ida during the time of the attack.,"Jim Mannion, “US military focus on Ansar al-Islam in seeking links to embassy bombing”, Agence France Presse, August 7, 2003.","Larry Kaplow and George Edmonson, “Bomb near Jordan's Iraq embassy kills 11; 2 U.S. soldiers killed, 3 wounded in gunbattles”, The Atlanta Journal-Constitution, August 8, 2003.","Luke Baker, “Blast at Jordanian embassy in Iraq”, The Australian, August 8, 2003.",CETIS,0,1,1,1,,8/7/03,8/7/03,8/7/03,948
2.00308E+11,2003,8,19,,0,,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.3,44.4,1,0,,"08/19/2003: The top United Nations envoy to Iraq, Sergio Vieira de Mello, was killed in a powerful truck bomb blast at the UN headquarters in Baghdad, Iraq. A suicide bomber driving a cement mixing truck loaded with explosives bombed the building, killing a total of 23 people. At least 100 others were injured in the blast as well. A group calling itself the Armed Vanguards of a Second Mohammed Army claimed responsibility for the bombing.",1,1,1,0,,,0,1,1,3,Bombing/Explosion,,,,,7,Government (Diplomatic),47,"International Organization (peacekeeper, aid agency, compound)",The United Nations,The United Nations headquarters in Baghdad,422,International,,,,,,,,,,,,,,,,,Armed Vanguards of a Second Mohammed Army,,,,,,To demonstrate opposition to the presence of every foreigner in Iraq.,0,,,1,0,1,6,Video,,,,,,,-9,6,Explosives/Bombs/Dynamite,13,Suicide (carried bodily by human being),,,,,,,,,,,,,Explosive material was packed into a cement mixing truck.,24,,1,100,,0,1,2,Major (likely > $1 million but < $1 billion),,The UN headquarter building in Baghdad was destroyed.,0,,,,,,,,,,,,,,,,"U.S. investigators suspected the bombing was an inside job and were questioning Iraqi employees and guards, many of whom were linked to Saddam Hussein's security service.","“Bombing at U.N. HQ kills 20, including top official,” Cox News Service, August 19, 2003.","Jamie Tarabay, “U.N. bombing could have been an inside job, U.S. security official says,” Associated Press, August 22, 2003.","D' Arcy Doran, “'We bombed the UN' - Unknown group claims suicide attack,” The Daily Telegraph (Sydney, Australia), August 23, 2003.",CETIS,0,1,1,1,,8/19/03,8/19/03,8/19/03,960
2.00308E+11,2003,8,29,,0,,95,Iraq,10,Middle East & North Africa,Najaf,Najaf,32.000596,44.330818,1,0,,"08/29/2003: A car bomb detonated near the Tomb of Ali in Najaf, Iraq, killing more than 100 people and injured over 200 others. Among the dead was Ayatollah Mohammad Baqer al-Hakim, a leader Shi`ite cleric and the head of the Iran-backed Supreme Assembly of the Islamic Revolution in Iraq (SAIRI). Initial reports indicate that the perpetrators were linked to al Qa'ida and in 2007 Oras Muhammad Abdul-Aziz, a suspected member of al Qa'ida in Iraq confessed to his involvement in the bombing and was executed in Iraq.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,15,Religious Figures/Institutions,,,The Tomb of Ali,"The Tomb of Ali in Najaf, one of the Shi`ite Islam's holiest shrines",95,Iraq,15,Religious Figures/Institutions,85,Religious Figure,The Supreme Assembly of the Islamic Revolution in Iraq (SAIRI),"Ayatollah Mohammad Baqer al-Hakim, Iraq's leading Shi`ite politician and the spiritual head of the Iran-backed Supreme Assembly of the Islamic Revolution in Iraq (SAIRI)",95,Iraq,14,Private Citizens & Property,78,"Procession/Gathering (funeral, wedding, birthday, religious)",Civilians,Attendees at the weekly sermon at the Tomb of Ali,95,Iraq,Tawhid and Jihad,,,,,,Unknown,0,,,4,4,0,,,,,,,,,,6,Explosives/Bombs/Dynamite,15,Vehicle,,,,,,,,,,,,,,100,0,0,200,0,0,1,4,Unknown,,,0,,,,,,,,,,,,,,,,"The explosives used in this attack were proved identical to those used in a blast at the United Nations headquarters in Baghdad on August 19, 2003 (cf. 200308190001).","“Two Iraqis, Two Saudis Arrested in Connection With Al-Najaf Blast,”  Al-Sulaymeniyah KurdSat, August 30, 2003","Peter Beaumont, Najaf and Edward Helmore, “Shrine attack linked to UN blast: Al-Qaeda arrests and identical explosives suggest bombings are part of larger strategy,” The Observer, August 31, 2003.","“Four Arabs detained by Iraqi police confess to Najaf blast,” Paris AFP, August 30, 2003.",CETIS,0,0,0,0,,8/29/03,8/29/03,8/29/03,970
2.00309E+11,2003,9,10,,0,,95,Iraq,10,Middle East & North Africa,Arbil,Arbil,36.191107,44.009101,1,0,,"09/10/2003: A suicide bomber exploded in an SUV outside the U.S. intelligence headquarters in Irbil, killing three Iraqis and wounding dozens, including four Americans. Al-Qa'ida was suspected in the attack.",1,1,1,0,,,0,1,1,3,Bombing/Explosion,,,,,2,Government (General),20,Intelligence,U.S. Government,U.S. intelligence headquarter/safehouse in Irbil,217,United States,,,,,,,,,,,,,,,,,Tawhid and Jihad,,,,,,Unknown,1,,,1,0,0,,,,,,,,,,6,Explosives/Bombs/Dynamite,15,Vehicle,,,,,,,,,,,,,,4,0,1,53,4,0,1,3,Minor (likely < $1 million),-99,The Kia SUV used by the bomber and surrounding houses were destroyed.,0,,,,,,,,,,,,,,,,"It is suspected that Al Qa'ida was responsible for this attack but Ansar al Islam, an Al Qa'ida associated group, was not ruled out as a possible candidate.","""Tide of Anti-American Attacks Returns in Iraq,"" Xinhua, September 10, 2003.","""Al-Jazirah at Midday,"" Al-Jazirah Satellite Channel Television, Doha, September 10, 2003.","Scheherezade Faramarzi, ""Suicide car bomber hits U.S. intelligence headquarters in north of Iraq,"" The Associated Press, September 10, 2003.",CETIS,0,1,1,1,,9/10/03,9/10/03,9/10/03,982
