,Unnamed: 0,eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubtterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,nperps,nperpcap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode2_txt,claim3,claimmode3,claimmode3_txt,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,ransomnote,hostkidoutcome,hostkidoutcome_txt,nreleased,addnotes,scite1,scite2,scite3,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related
2459,22417,200103160007,2001,3,16,,0,,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.3,44.4,1.0,0,A bus station,"03/16/2001: A bomb set near two buses in a bus station exploded, killing two and injuring 27 more in Baghdad, Iraq around midnight.  No group claimed responsibility for the attack.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,19,Transportation,101.0,Bus Station/Stop,Bus depot,Two buses at a bus station,95.0,Iraq,14.0,Private Citizens & Property,67.0,Unnamed Civilian/Unspecified,Private citizens in and around the bus station,Private citizens,95.0,Iraq,,,,,,,,,Unknown,,,,,,"Although the specific motive was unknown, sources claim that those responsible could have connections to ""Zionists and Americans"", and were trying to spy on and undermine Iraq.",0.0,,,-99.0,0.0,0.0,,,,,,,,,,6,Explosives/Bombs/Dynamite,16.0,Unknown Explosive Type,,,,,,,,,,,,,A bomb was placed in between two buses,2.0,0.0,0.0,27.0,0.0,0.0,1,4.0,Unknown,,Both buses were damaged and blood was spread over the depot,0.0,,,,,,,,,,,,,,,,"Two of the men injured in the explosion were Adnan Hussein and Ghazi Najm, who was 25.","""Baghdad bomb kills two, injures 27,"" Reuters, March 16, 2001.","""Two killed, 27 injured in Baghdad bus station blast,"" Agence France-Presse, March 16, 2001.","""Baghdad blast kills two, others injured,"" Iraqi TV, March 16, 2001.",UMD Schmid 2012,-9,-9,0,-9,
2466,22514,200104040005,2001,4,4,,0,,95,Iraq,10,Middle East & North Africa,Dihok,Duhok,36.866667,43.0,1.0,1,"On a road outside Dohuk, a town in northern Iraq","04/04/2001: A land mine exploded on a road outside Dohuk, Barwari district, Iraq, killing seven and wounding two who were traveling in a truck at the time.  The victims of the attack were thought to be civil engineers working for the government area on projects involving repopulation.  Although no group claimed responsibility for the attack, authorities blamed members of the Kurdistan Workers' Party (PKK) for planting the mine.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,2,Government (General),15.0,Politician or Political Party Movement/Meeting/Rally,Kurdish Democratic Party (KDP),Civil engineers working for the Kurdish Democratic Party,95.0,Iraq,,,,,,,,,,,,,,,,,Kurdistan Workers' Party (PKK),,,,,,"Although the specific motive was unknown, authorities blamed the Kurdistan Workers' Party (PKK), claiming they were trying to destabilize the area.",0.0,,,-99.0,0.0,0.0,,,,,,,,,,6,Explosives/Bombs/Dynamite,8.0,Land Mine,,,,,,,,,,,,,"A land mine was placed on the road and the truck drove over it.  Sources note that, as the road had been used frequently recently, the mine must have been placed shortly before the explosion.",7.0,0.0,0.0,2.0,0.0,0.0,1,4.0,Unknown,,It was unclear how much damage was done to the truck and surrounding area.,0.0,,,,,,,,,,,,,,,,,"""Seven civilians killed in PKK attack in northern Iraq: Kurdish group,"" Agence France-Presse, April 5, 2001.","""Mine explosion in Kurdish Iraq kills seven,"" Associated Press, April 5, 2001.","Claudia Parsons, ""Seven Iraqi Kurds killed in landmine explosion,"" Reuters, April 5, 2001.",UMD Schmid 2012,1,1,0,1,
2486,22813,200107110002,2001,7,11,,0,,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.3,44.4,1.0,0,A neighborhood,"07/11/2001: One person was wounded and homes in a neighborhood were damaged when three missiles, thought to be 122 millimeter Katyusha rockets, exploded in Baghdad, Al-Karakh district, Iraq.  A group called the Supreme Council for the Islamic Revolution in Iraq claimed responsibility for the incident, but claimed they launched more rockets and that the attack occurred in a different area of the city.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,14,Private Citizens & Property,76.0,House/Apartment/Residence,Private citizens and property in Baghdad,A residential area of Baghdad,95.0,Iraq,,,,,,,,,,,,,,,,,Supreme Council for Islamic Revolution in Iraq (SCIRI),,,,,,"The claim by the Supreme Council for the Islamic Revolution in Iraq stated that the attack was aimed at the Iraqi government, and the actions they had taken in the country.",1.0,,,-99.0,0.0,1.0,10.0,Unknown,,,,,,,0.0,6,Explosives/Bombs/Dynamite,11.0,"Projectile (rockets, mortars, RPGs, etc.)",,,,,,,,,,,,,The weapons were described as a least three 122 millimeter Katyusha rockets.,0.0,0.0,0.0,1.0,0.0,0.0,1,4.0,Unknown,,Homes in the neighborhood were damaged.,0.0,,,,,,,,,,,,,,,,"Sources claimed that originally, Iraq blamed Iran for the attack.  According to the statement by the Supreme Council for the Islamic Revolution in Iraq, they fired 16 rockets.  They also claimed that the rockets were fired at government buildings and Sadam Hussein's palaces, not at residential areas.  However, media reports showed damage to homes in a neighborhood and the claimes of damage by the group were not confirmed.","""One injured in missile attack on Baghdad, Iraq blames Iranian agents,"" Agence France-Presse, July 11, 2001.","Farouk Choukri, ""Iraq warns Iran after missile attack on central Baghdad injures one,"" Agence France-Presse, July 11, 2001.","""Iraqi dissidents say they hit Baghdad government offices with Katyusha rockets,"" Associated Press, July 11, 2001.",UMD Schmid 2012,0,0,0,0,
2665,24118,200202070003,2002,2,7,,0,,95,Iraq,10,Middle East & North Africa,Unknown,Unknown,,,5.0,0,This attack occurred in an unspecified location in the Saouira province.,"02/07/2002: In the southern Iraqi Saouira province, barracks of the Iraq Presidential Guard came under mortar fire from a group called Supreme Council for Islamic Revolution in Iraq (SCIRI). The group claimed responsibility in a written statement sent to the Kuwaiti news agency KUNA. The news report states that damages and casualties were caused, but does not specify how much or how many.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,4,Military,27.0,Military Barracks/Base/Headquarters/Checkpost,Iraq Presidential Guard,Iraq Presidential Guard Barracks in the Saouira Province,95.0,Iraq,,,,,,,,,,,,,,,,,Supreme Council for Islamic Revolution in Iraq (SCIRI),,,,,,Unknown,0.0,,,,,1.0,1.0,Letter,,,,,,,-9.0,6,Explosives/Bombs/Dynamite,11.0,"Projectile (rockets, mortars, RPGs, etc.)",,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,-9,,,,It is unknown if any property was damaged in this attack.,0.0,,,,,,,,,,,,,,,,,"""Iraqi 'Resistance Group' Shells Iraqi Presidential Guard Position,"" KUNA, February 7, 2002.",,,CETIS,0,0,0,0,
2692,24315,200204030002,2002,4,3,,0,,95,Iraq,10,Middle East & North Africa,Sulaymaniyah,Sulaymaniyah,35.54987,45.433493,1.0,0,,"04/03/2002: Two gunmen attempted to assasinate Barham Salih, head of the Patriotic Union of Kurdistan's regional government, by firing at him at his home in the city of Sulaymaniyah. Both gunmen and five of Salih's bodyguards were killed. Salih escaped unharmed. The gunmen were suspected to be members of the rebel group Jund al-Islam.",1,1,1,0,,,0,0,0,1,Assassination,,,,,2,Government (General),18.0,"Government Personnel (excluding police, military)",Regional Government of Kurdistan,Barham Salih,95.0,Iraq,,,,,,,,,,,,,,,,,Ansar al-Islam,,,,,,Unknown,1.0,,,2.0,0.0,0.0,,,,,,,,,,5,Firearms,5.0,Unknown Gun Type,,,,,,,,,,,,,,7.0,0.0,2.0,0.0,0.0,0.0,0,,,,,0.0,,,,,,,,,,,,,,,,,"""Seven Killed in Northern Iraq Clash,"" Business Recorder, 04/04/2002.","""Seven Killed in bid to assasinate Kurdish leader in the Northern iraq,"" Middle East News Online, 04/05/2002.","Patrick Cockburn, ""Kurdish Leader survives Saddam Assassination bid,"" The Independent, 04/05/2002.",CETIS,0,0,0,0,
2772,24792,200208010004,2002,8,1,,0,,95,Iraq,10,Middle East & North Africa,Sulaymaniyah,Khurmal,35.302275,46.035178,1.0,0,,08/01/2002: Four people were injured after an explosion of a TNT device at an Iraqi checkpoint. Among the injured was one of the perpetrators. The injured perpetrator was taken to Biyarah by the gunmen of Ansar-al-Islam.,1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,4,Military,33.0,Army,Iraqi Army,Iraqi servicemen at between Khurmal checkpoint and  the district center.,95.0,Iraq,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0.0,,,,0.0,0.0,,,,,,,,,,6,Explosives/Bombs/Dynamite,28.0,Dynamite/TNT,,,,,,,,,,,,,The explosive used was TNT.,0.0,0.0,0.0,4.0,0.0,1.0,-9,4.0,Unknown,,,0.0,,,,,,,,,,,,,,,,Al-Sulaymaniah is a daily newspaper in Sorani Kurdish published by Patriotic Union of Kurdistan (PUK).,"""Iraq: Four injured in explosion in Islamic-controlled town,"" Al-Sulaymaniyah Kurdistani Nuwe Kurdish, August 3, 2002.",,,CETIS,-9,-9,0,-9,
2783,24860,200208120004,2002,8,12,,0,,95,Iraq,10,Middle East & North Africa,Sulaymaniyah,Halabjah,35.183333000000005,45.983333,1.0,0,,"08/12/2002: Gunmen attacked a power station in Kurdish town of Halabjah, Iraq, with heavy weapons and RPGs. The security unit fired back and made the attackers flee but the station building had been heavily damaged. There was no casualties.",1,1,1,0,,,0,0,0,2,Armed Assault,,,,,21,Utilities,107.0,Electricity,Iraqi Electricity Department,Power station in Halabjah,95.0,Iraq,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0.0,,,,0.0,0.0,,,,,,,,,,6,Explosives/Bombs/Dynamite,11.0,"Projectile (rockets, mortars, RPGs, etc.)",5.0,Firearms,5.0,Unknown Gun Type,,,,,,,,,They used heavy weapons and RPGs in the attack.,0.0,0.0,0.0,0.0,0.0,0.0,1,4.0,Unknown,,,0.0,,,,,,,,,,,,,,,,,"“Gunmen attack power station in Kurdish town,” Al-Sulaymaniyah KurdSat, August 13, 2002.",,,CETIS,-9,-9,0,-9,
2791,24928,200208310003,2002,8,31,,0,,95,Iraq,10,Middle East & North Africa,Sulaymaniyah,Halabjah,35.183333000000005,45.983333,1.0,0,,"08/31/2002: An unknown person tried to use a two kilogram TNT bomb to carry out an attack in Halabjah, Iraq. The bomb, however, detonated before the perpetrator could place it, killing him. The target of the attack appeared to have been the headquarters of the Patriotic Union of Kurdistan (PUK) in the Sharazur region. No group claimed responsibility for the failed attack.",1,1,1,0,,,0,0,0,3,Bombing/Explosion,,,,,2,Government (General),15.0,Politician or Political Party Movement/Meeting/Rally,Patriotic Union of Kurdistan,Headquarters of the Patriotic Union of Kurdistan (PUK) in the Sharazur region,95.0,Iraq,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0.0,,,1.0,0.0,0.0,,,,,,,,,,6,Explosives/Bombs/Dynamite,28.0,Dynamite/TNT,,,,,,,,,,,,,A two kilogram TNT bomb,1.0,0.0,1.0,0.0,0.0,0.0,1,3.0,Minor (likely < $1 million),,,0.0,,,,,,,,,,,,,,,,,"""Suspected Bomber Killed By Own Explosives in Kurdish Region,” British Broadcasting Corporation, August 31, 2002.",,,CETIS,-9,-9,0,-9,
2816,25184,200211260001,2002,11,26,,0,,95,Iraq,10,Middle East & North Africa,Sulaymaniyah,Halabjah,35.183333000000005,45.983333,1.0,0,,"11/26/2002: Two were killed by two anti-personal mines in a village controlled by the Ansar al-Islam near the town of Halabja, Suleimanya province, Iraq, close to the Iranian border. The victims’ group was accused of links with al-Qaeda.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,14,Private Citizens & Property,71.0,Race/Ethnicity Identified,Civilians,Iraqi civilians near the town of Halabja,95.0,Iraq,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0.0,,,,0.0,0.0,,,,,,,,,,6,Explosives/Bombs/Dynamite,8.0,Land Mine,,,,,,,,,,,,,An anti-personal mine was used in the attack.,2.0,0.0,0.0,0.0,0.0,0.0,-9,4.0,Unknown,,,0.0,,,,,,,,,,,,,,,,,"""Two Members of Iraq Islamist Group with Links to Al-Qaeda Killed in Blast,” Al-Bawaba, November 27, 2002.","""Iraq: Two Reportedly Killed in Clashes between Kurdish PUK and Armed Islamists,” BBC Monitoring Middle East – Political, November 30, 2002.",,CETIS,-9,-9,0,-9,
2869,25483,200302080001,2003,2,8,,0,,95,Iraq,10,Middle East & North Africa,Unknown,Qamesh Tapa,,,5.0,0,,"02/08/2003: During the night, Shaukat Haji Mushir, a leading commander of the Patriotic Union of Kurdistan (PUK) was assassinated alongside five others in Qamesh Tapa, near Halabja, during a meeting with Ansar al-Islam terrorist organization who pretended to be defecting from the organization. They were killed by grenades and AK-47 gunfire.  Among the dead were two bodyguards, and four civilians.  The three perpetrators from Ansar al-Islam managed to escape, and kidnapped three PUK guards to the Ansar-al-Islam controlled village of Byara.  Ansar al-Islam claimed responsibility on its website between 02/08/2003 and 02/11/2003, claiming that the assassination was part of a plot to divide Kurdish groups.",1,1,1,0,,,0,1,0,1,Assassination,,,,,22,Violent Political Party,109.0,Party Official/Candidate/Other Personnel,Patriotic Union of Kurdistan (PUK),Commander: Shaukat Haji Mushir,95.0,Iraq,,,,,,,,,,,,,,,,,Ansar al-Islam,,,,,,The statement of responsibility claimed that the attack was part of a plan to sow discord among Kurdish political groups opposed to Saddam Hussein and groups like Ansar al-Islam.,0.0,,,3.0,0.0,1.0,7.0,"Posted to website, blog, etc.",,,,,,,-9.0,5,Firearms,2.0,Automatic Weapon,6.0,Explosives/Bombs/Dynamite,7.0,Grenade,,,,,,,,,AK-47s and grenades were used in the attack.,6.0,0.0,0.0,1.0,0.0,0.0,-9,4.0,Unknown,,Unknown,1.0,3.0,0.0,,-99.0,,,0.0,,,,,,7.0,Unknown,-99.0,"Another statement on the Ansar website alongside the claim of responsibility for this incident, stated that the PUK had offered 150 Ansar militants great amounts of cash to defect, attack Ansar, allow the PUK to recapture the area, and attack the Kurdistan Democratic Party--the PUK's main political rival.  Ansar al-Islam is well known to be linked to al-Qa'ida.","Stephan Smith, ""Top Iraqi Kurd official assassinated in ambush by al-Qaeda linked group,"" AFP, February 9, 2003.","Borzou Daragahi, ""Attackers kill Kurdish political leader,"" AP, February 9, 2003.","Jonathan S. Landay, ""Alleged al Qaeda-linked group admits to killing general,"" Miami Herald, February 11, 2003.",CETIS,0,0,0,0,
