,gname,country_txt,lognkill,eventid,attack_types,weapon_types,mu,AbmGTDname,PandasName
0,1920 Revolution Brigades,Iraq,2.1383330595080277,2,1,1,0.003728574858277349,1920 Revolution Brigades,1920RevolutionBrigades
1,AQI,Iraq,1.8267396958828932,120,6,5,0.022371449149664095,AQI,AQI
2,Abu Hafs al-Masri Brigades,Iraq,2.0794415416798357,1,1,1,0.003728574858277349,Abu Hafs al-Masri Brigades,AbuHafsalMasriBrigades
3,Al Zawahiri Loyalists,Iraq,0.0,1,1,1,0.003728574858277349,Al Zawahiri Loyalists,AlZawahiriLoyalists
4,Al-Qaeda,Afghanistan,0.9732334685105425,19,3,2,0.011185724574832048,Al-Qaeda,AlQaeda
5,Ansar al-Din,Iraq,0.0,1,1,1,0.003728574858277349,Ansar al-Din,AnsaralDin
6,Ansar al-Islam,Iraq,2.1912294229394726,7,2,2,0.007457149716554698,Ansar al-Islam,AnsaralIslam
7,Ansar al-Jihad,Iraq,0.0,1,1,1,0.003728574858277349,Ansar al-Jihad,AnsaralJihad
8,Ansar al-Sunna,Iraq,1.8224059111237425,16,4,5,0.014914299433109396,Ansar al-Sunna,AnsaralSunna
9,Armed Vanguards of a Second Mohammed Army,Iraq,3.2188758248682006,1,1,1,0.003728574858277349,Armed Vanguards of a Second Mohammed Army,ArmedVanguardsofaSecondMohammedArmy
10,Badr Brigades,Iraq,1.0986122886681098,1,2,1,0.007457149716554698,Badr Brigades,BadrBrigades
11,Brigades of Iman Hassan-al-Basri,Iraq,1.3862943611198906,1,1,1,0.003728574858277349,Brigades of Iman Hassan-al-Basri,BrigadesofImanHassanalBasri
12,Hizb-I-Islami,Afghanistan,0.23104906018664842,6,2,2,0.007457149716554698,Hizb-I-Islami,HizbIIslami
13,Holders of the Black Banners,Iraq,0.0,1,2,1,0.007457149716554698,Holders of the Black Banners,HoldersoftheBlackBanners
14,Imam Hussein Brigade,Iraq,0.8958797346140275,2,2,2,0.007457149716554698,Imam Hussein Brigade,ImamHusseinBrigade
15,Islamic Army in Iraq (al-Jaish al-Islami fi al-Iraq),Iraq,1.141087047866959,4,4,3,0.014914299433109396,Islamic Army in Iraq (al-Jaish al-Islami fi al-Iraq),IslamicArmyinIraqalJaishalIslamifialIraq
16,Islamic Jihad Brigades,Iraq,0.0,1,1,1,0.003728574858277349,Islamic Jihad Brigades,IslamicJihadBrigades
17,Islamic Movement of Iraqi Mujahidin,Iraq,0.6931471805599453,1,1,1,0.003728574858277349,Islamic Movement of Iraqi Mujahidin,IslamicMovementofIraqiMujahidin
18,Islamist Extremists,Afghanistan,1.3862943611198906,1,1,1,0.003728574858277349,Islamist Extremists,IslamistExtremists
