country,alpha,beta,omega,pvalue
Afghanistan,0.5,5.5,0.1,0.125000
Afghanistan,0.5,5.5,0.1,0.125000
Afghanistan,0.5,5.5,0.1,0.125000
Afghanistan,0.5,5.5,0.1,0.125000
Afghanistan,0.5,5.5,0.1,0.125000
Afghanistan,0.5,5.5,0.1,0.125000
Afghanistan,0.5,5.5,0.1,0.125000
Afghanistan,0.5,5.5,0.1,0.125000
Afghanistan,0.5,5.5,0.1,0.125000
Afghanistan,0.5,5.5,0.1,0.125000
Afghanistan,0.5,5.5,0.1,0.125000
Afghanistan,0.5,5.5,0.1,0.125000
Afghanistan,0.5,5.5,0.1,0.125000
Afghanistan,0.5,5.5,0.1,0.125000
Afghanistan,0.5,5.5,0.1,0.125000
Afghanistan,0.5,5.5,0.1,0.125000
Afghanistan,0.5,5.5,0.1,0.125000
Afghanistan,0.5,5.5,0.1,0.125000
Afghanistan,0.5,5.5,0.1,0.125000
Afghanistan,0.5,5.5,0.1,0.125000
Afghanistan,0.5,5.5,0.1,0.125000
Afghanistan,0.5,5.5,0.1,0.125000
Afghanistan,0.5,5.5,0.1,0.125000
Afghanistan,0.5,5.5,0.1,0.125000
Afghanistan,0.5,5.5,0.1,0.125000
Afghanistan,0.5,5.5,0.1,0.125000
Afghanistan,0.5,5.5,0.1,0.125000
Afghanistan,0.5,5.5,0.1,0.125000
Afghanistan,0.5,5.5,0.1,0.125000
Afghanistan,0.5,5.5,0.1,0.125000
Afghanistan,0.5,5.5,0.1,0.125000
Afghanistan,0.5,5.5,0.1,0.125000
Afghanistan,0.5,5.5,0.1,0.125000
Afghanistan,0.5,5.5,0.1,0.125000
Afghanistan,0.5,5.5,0.1,0.125000
Afghanistan,0.5,5.5,0.1,0.125000
Afghanistan,0.5,5.5,0.1,0.125000
Afghanistan,0.5,5.5,0.1,0.125000
Afghanistan,0.5,5.5,0.1,0.125000
Afghanistan,0.5,5.5,0.1,0.125000
Afghanistan,0.5,5.5,0.1,0.125000
Afghanistan,0.5,5.5,0.1,0.125000
Afghanistan,0.5,5.5,0.1,0.125000
Afghanistan,0.5,5.5,0.1,0.125000
Afghanistan,0.5,5.5,0.1,0.125000
Afghanistan,0.5,5.5,0.1,0.125000
Afghanistan,0.5,5.5,0.1,0.125000
Afghanistan,0.5,5.5,0.1,0.125000
Afghanistan,0.5,5.5,0.1,0.125000
Afghanistan,0.5,5.5,0.1,0.125000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,1.000000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
Afghanistan,0.5,5.5,0.1,0.625000
