country,alpha,beta,omega,pvalue
Afghanistan,0.1,4.0,0.0,1.000000
Afghanistan,0.1,4.0,0.1,1.000000
Afghanistan,0.1,4.0,0.2,1.000000
Afghanistan,0.1,4.0,0.3,1.000000
Afghanistan,0.1,4.0,0.4,1.000000
Afghanistan,0.1,4.0,0.5,1.000000
Afghanistan,0.1,4.0,0.6,1.000000
Afghanistan,0.1,4.0,0.7,1.000000
Afghanistan,0.1,4.0,0.8,1.000000
Afghanistan,0.1,4.0,0.9,1.000000
Afghanistan,0.1,4.0,1.0,1.000000
Afghanistan,0.1,4.5,0.0,1.000000
Afghanistan,0.1,4.5,0.1,1.000000
Afghanistan,0.1,4.5,0.2,1.000000
Afghanistan,0.1,4.5,0.3,1.000000
Afghanistan,0.1,4.5,0.4,1.000000
Afghanistan,0.1,4.5,0.5,1.000000
Afghanistan,0.1,4.5,0.6,1.000000
Afghanistan,0.1,4.5,0.7,1.000000
Afghanistan,0.1,4.5,0.8,1.000000
Afghanistan,0.1,4.5,0.9,1.000000
Afghanistan,0.1,4.5,1.0,1.000000
Afghanistan,0.1,5.0,0.0,1.000000
Afghanistan,0.1,5.0,0.1,1.000000
Afghanistan,0.1,5.0,0.2,1.000000
Afghanistan,0.1,5.0,0.3,1.000000
Afghanistan,0.1,5.0,0.4,1.000000
Afghanistan,0.1,5.0,0.5,1.000000
Afghanistan,0.1,5.0,0.6,1.000000
Afghanistan,0.1,5.0,0.7,1.000000
Afghanistan,0.1,5.0,0.8,1.000000
Afghanistan,0.1,5.0,0.9,1.000000
Afghanistan,0.1,5.0,1.0,1.000000
Afghanistan,0.1,5.5,0.0,1.000000
Afghanistan,0.1,5.5,0.1,1.000000
Afghanistan,0.1,5.5,0.2,1.000000
Afghanistan,0.1,5.5,0.3,1.000000
Afghanistan,0.1,5.5,0.4,1.000000
Afghanistan,0.1,5.5,0.5,1.000000
Afghanistan,0.1,5.5,0.6,1.000000
Afghanistan,0.1,5.5,0.7,1.000000
Afghanistan,0.1,5.5,0.8,1.000000
Afghanistan,0.1,5.5,0.9,1.000000
Afghanistan,0.1,5.5,1.0,1.000000
Afghanistan,0.1,6.0,0.0,1.000000
Afghanistan,0.1,6.0,0.1,1.000000
Afghanistan,0.1,6.0,0.2,1.000000
Afghanistan,0.1,6.0,0.3,1.000000
Afghanistan,0.1,6.0,0.4,1.000000
Afghanistan,0.1,6.0,0.5,1.000000
Afghanistan,0.1,6.0,0.6,1.000000
Afghanistan,0.1,6.0,0.7,1.000000
Afghanistan,0.1,6.0,0.8,1.000000
Afghanistan,0.1,6.0,0.9,1.000000
Afghanistan,0.1,6.0,1.0,1.000000
Afghanistan,0.1,6.5,0.0,1.000000
Afghanistan,0.1,6.5,0.1,1.000000
Afghanistan,0.1,6.5,0.2,1.000000
Afghanistan,0.1,6.5,0.3,1.000000
Afghanistan,0.1,6.5,0.4,1.000000
Afghanistan,0.1,6.5,0.5,1.000000
Afghanistan,0.1,6.5,0.6,1.000000
Afghanistan,0.1,6.5,0.7,1.000000
Afghanistan,0.1,6.5,0.8,1.000000
Afghanistan,0.1,6.5,0.9,1.000000
Afghanistan,0.1,6.5,1.0,1.000000
Afghanistan,0.1,7.0,0.0,1.000000
Afghanistan,0.1,7.0,0.1,1.000000
Afghanistan,0.1,7.0,0.2,1.000000
Afghanistan,0.1,7.0,0.3,1.000000
Afghanistan,0.1,7.0,0.4,1.000000
Afghanistan,0.1,7.0,0.5,1.000000
Afghanistan,0.1,7.0,0.6,1.000000
Afghanistan,0.1,7.0,0.7,1.000000
Afghanistan,0.1,7.0,0.8,1.000000
Afghanistan,0.1,7.0,0.9,1.000000
Afghanistan,0.1,7.0,1.0,1.000000
Afghanistan,0.1,7.5,0.0,1.000000
Afghanistan,0.1,7.5,0.1,1.000000
Afghanistan,0.1,7.5,0.2,1.000000
Afghanistan,0.1,7.5,0.3,1.000000
Afghanistan,0.1,7.5,0.4,1.000000
Afghanistan,0.1,7.5,0.5,1.000000
Afghanistan,0.1,7.5,0.6,1.000000
Afghanistan,0.1,7.5,0.7,1.000000
Afghanistan,0.1,7.5,0.8,1.000000
Afghanistan,0.1,7.5,0.9,1.000000
Afghanistan,0.1,7.5,1.0,1.000000
Afghanistan,0.1,8.0,0.0,1.000000
Afghanistan,0.1,8.0,0.1,1.000000
Afghanistan,0.1,8.0,0.2,1.000000
Afghanistan,0.1,8.0,0.3,1.000000
Afghanistan,0.1,8.0,0.4,1.000000
Afghanistan,0.1,8.0,0.5,1.000000
Afghanistan,0.1,8.0,0.6,1.000000
Afghanistan,0.1,8.0,0.7,1.000000
Afghanistan,0.1,8.0,0.8,1.000000
Afghanistan,0.1,8.0,0.9,1.000000
Afghanistan,0.1,8.0,1.0,1.000000
Afghanistan,0.1,4.0,0.0,1.000000
Afghanistan,0.1,4.0,0.1,1.000000
Afghanistan,0.1,4.0,0.2,1.000000
Afghanistan,0.1,4.0,0.3,1.000000
Afghanistan,0.1,4.0,0.4,1.000000
Afghanistan,0.1,4.0,0.5,1.000000
Afghanistan,0.1,4.0,0.6,1.000000
Afghanistan,0.1,4.0,0.7,1.000000
Afghanistan,0.1,4.0,0.8,1.000000
Afghanistan,0.1,4.0,0.9,1.000000
Afghanistan,0.1,4.0,1.0,1.000000
Afghanistan,0.1,4.5,0.0,1.000000
Afghanistan,0.1,4.5,0.1,1.000000
Afghanistan,0.1,4.5,0.2,1.000000
Afghanistan,0.1,4.5,0.3,1.000000
Afghanistan,0.1,4.5,0.4,1.000000
Afghanistan,0.1,4.5,0.5,1.000000
Afghanistan,0.1,4.5,0.6,1.000000
Afghanistan,0.1,4.5,0.7,1.000000
Afghanistan,0.1,4.5,0.8,1.000000
Afghanistan,0.1,4.5,0.9,1.000000
Afghanistan,0.1,4.5,1.0,1.000000
Afghanistan,0.1,5.0,0.0,1.000000
Afghanistan,0.1,5.0,0.1,1.000000
Afghanistan,0.1,5.0,0.2,1.000000
Afghanistan,0.1,5.0,0.3,1.000000
Afghanistan,0.1,5.0,0.4,1.000000
Afghanistan,0.1,5.0,0.5,1.000000
Afghanistan,0.1,5.0,0.6,1.000000
Afghanistan,0.1,5.0,0.7,1.000000
Afghanistan,0.1,5.0,0.8,1.000000
Afghanistan,0.1,5.0,0.9,1.000000
Afghanistan,0.1,5.0,1.0,1.000000
Afghanistan,0.1,5.5,0.0,1.000000
Afghanistan,0.1,5.5,0.1,1.000000
Afghanistan,0.1,5.5,0.2,1.000000
Afghanistan,0.1,5.5,0.3,1.000000
Afghanistan,0.1,5.5,0.4,1.000000
Afghanistan,0.1,5.5,0.5,1.000000
Afghanistan,0.1,5.5,0.6,1.000000
Afghanistan,0.1,5.5,0.7,1.000000
Afghanistan,0.1,5.5,0.8,1.000000
Afghanistan,0.1,5.5,0.9,1.000000
Afghanistan,0.1,5.5,1.0,1.000000
Afghanistan,0.1,6.0,0.0,1.000000
Afghanistan,0.1,6.0,0.1,1.000000
Afghanistan,0.1,6.0,0.2,1.000000
Afghanistan,0.1,6.0,0.3,1.000000
Afghanistan,0.1,6.0,0.4,1.000000
Afghanistan,0.1,6.0,0.5,1.000000
Afghanistan,0.1,6.0,0.6,1.000000
Afghanistan,0.1,6.0,0.7,1.000000
Afghanistan,0.1,6.0,0.8,1.000000
Afghanistan,0.1,6.0,0.9,1.000000
Afghanistan,0.1,6.0,1.0,1.000000
Afghanistan,0.1,6.5,0.0,1.000000
Afghanistan,0.1,6.5,0.1,1.000000
Afghanistan,0.1,6.5,0.2,1.000000
Afghanistan,0.1,6.5,0.3,1.000000
Afghanistan,0.1,6.5,0.4,1.000000
Afghanistan,0.1,6.5,0.5,1.000000
Afghanistan,0.1,6.5,0.6,1.000000
Afghanistan,0.1,6.5,0.7,1.000000
Afghanistan,0.1,6.5,0.8,1.000000
Afghanistan,0.1,6.5,0.9,1.000000
Afghanistan,0.1,6.5,1.0,1.000000
Afghanistan,0.1,7.0,0.0,1.000000
Afghanistan,0.1,7.0,0.1,1.000000
Afghanistan,0.1,7.0,0.2,1.000000
Afghanistan,0.1,7.0,0.3,1.000000
Afghanistan,0.1,7.0,0.4,1.000000
Afghanistan,0.1,7.0,0.5,1.000000
Afghanistan,0.1,7.0,0.6,1.000000
Afghanistan,0.1,7.0,0.7,1.000000
Afghanistan,0.1,7.0,0.8,1.000000
Afghanistan,0.1,7.0,0.9,1.000000
Afghanistan,0.1,7.0,1.0,1.000000
Afghanistan,0.1,7.5,0.0,1.000000
Afghanistan,0.1,7.5,0.1,1.000000
Afghanistan,0.1,7.5,0.2,1.000000
Afghanistan,0.1,7.5,0.3,1.000000
Afghanistan,0.1,7.5,0.4,1.000000
Afghanistan,0.1,7.5,0.5,1.000000
Afghanistan,0.1,7.5,0.6,1.000000
Afghanistan,0.1,7.5,0.7,1.000000
Afghanistan,0.1,7.5,0.8,1.000000
Afghanistan,0.1,7.5,0.9,1.000000
Afghanistan,0.1,7.5,1.0,1.000000
Afghanistan,0.1,8.0,0.0,1.000000
Afghanistan,0.1,8.0,0.1,1.000000
Afghanistan,0.1,8.0,0.2,1.000000
Afghanistan,0.1,8.0,0.3,1.000000
Afghanistan,0.1,8.0,0.4,1.000000
Afghanistan,0.1,8.0,0.5,1.000000
Afghanistan,0.1,8.0,0.6,1.000000
Afghanistan,0.1,8.0,0.7,1.000000
Afghanistan,0.1,8.0,0.8,1.000000
Afghanistan,0.1,8.0,0.9,1.000000
Afghanistan,0.1,8.0,1.0,1.000000
Afghanistan,0.1,4.0,0.0,1.000000
Afghanistan,0.1,4.0,0.1,1.000000
Afghanistan,0.1,4.0,0.2,1.000000
Afghanistan,0.1,4.0,0.3,1.000000
Afghanistan,0.1,4.0,0.4,1.000000
Afghanistan,0.1,4.0,0.5,1.000000
Afghanistan,0.1,4.0,0.6,1.000000
Afghanistan,0.1,4.0,0.7,1.000000
Afghanistan,0.1,4.0,0.8,1.000000
Afghanistan,0.1,4.0,0.9,1.000000
Afghanistan,0.1,4.0,1.0,1.000000
Afghanistan,0.1,4.5,0.0,1.000000
Afghanistan,0.1,4.5,0.1,1.000000
Afghanistan,0.1,4.5,0.2,1.000000
Afghanistan,0.1,4.5,0.3,1.000000
Afghanistan,0.1,4.5,0.4,1.000000
Afghanistan,0.1,4.5,0.5,1.000000
Afghanistan,0.1,4.5,0.6,1.000000
Afghanistan,0.1,4.5,0.7,1.000000
Afghanistan,0.1,4.5,0.8,1.000000
Afghanistan,0.1,4.5,0.9,1.000000
Afghanistan,0.1,4.5,1.0,1.000000
Afghanistan,0.1,5.0,0.0,1.000000
Afghanistan,0.1,5.0,0.1,1.000000
Afghanistan,0.1,5.0,0.2,1.000000
Afghanistan,0.1,5.0,0.3,1.000000
Afghanistan,0.1,5.0,0.4,1.000000
Afghanistan,0.1,5.0,0.5,1.000000
Afghanistan,0.1,5.0,0.6,1.000000
Afghanistan,0.1,5.0,0.7,1.000000
Afghanistan,0.1,5.0,0.8,1.000000
Afghanistan,0.1,5.0,0.9,1.000000
Afghanistan,0.1,5.0,1.0,1.000000
Afghanistan,0.1,5.5,0.0,1.000000
Afghanistan,0.1,5.5,0.1,1.000000
Afghanistan,0.1,5.5,0.2,1.000000
Afghanistan,0.1,5.5,0.3,1.000000
Afghanistan,0.1,5.5,0.4,1.000000
Afghanistan,0.1,5.5,0.5,1.000000
