Source,Target,Weight
1920 Revolution Brigades,Armed Vanguards of a Second Mohammed Army,0.223441
1920 Revolution Brigades,Badr Brigades,0.200404
1920 Revolution Brigades,Brigades of Iman Hassan-al-Basri,0.119104
1920 Revolution Brigades,Gunmen,0.101586
1920 Revolution Brigades,Holders of the Black Banners,0.014472
1920 Revolution Brigades,Imam Hussein Brigade,0.078856
1920 Revolution Brigades,Individual,0.004577
1920 Revolution Brigades,al-Iraq,0.004231
1920 Revolution Brigades,Mujahedeen Corps in Iraq,0.021378
1920 Revolution Brigades,Mujahedeen Shura Council,0.058685
1920 Revolution Brigades,SCIRI,0.084266
AQI,AQI,0.947718
AQI,Ansar al-Sunna,0.138075
AQI,al-Iraq,0.011247
AQI,Other,0.002993
Abu Hafs al-Masri Brigades,Islamic Movement of Iraqi Mujahidin,0.131570
Abu Hafs al-Masri Brigades,Junaid Jihadist Battalion,0.122614
Abu Hafs al-Masri Brigades,Mujahedeen Shura Council,0.001736
Abu Hafs al-Masri Brigades,Other,0.097371
Al Zawahiri Loyalists,1920 Revolution Brigades,0.096557
Al Zawahiri Loyalists,AQI,0.073014
Al Zawahiri Loyalists,Abu Hafs al-Masri Brigades,0.055852
Al Zawahiri Loyalists,Al Zawahiri Loyalists,0.013331
Al Zawahiri Loyalists,Ansar al-Din,0.016927
Al Zawahiri Loyalists,Ansar al-Islam,0.086100
Al Zawahiri Loyalists,Ansar al-Jihad,0.099294
Al Zawahiri Loyalists,Ansar al-Sunna,0.020892
Al Zawahiri Loyalists,Armed Vanguards of a Second Mohammed Army,0.235333
Al Zawahiri Loyalists,Badr Brigades,0.042633
Al Zawahiri Loyalists,Brigades of Iman Hassan-al-Basri,0.003546
Al Zawahiri Loyalists,Gunmen,0.011876
Al Zawahiri Loyalists,Holders of the Black Banners,0.040115
Al Zawahiri Loyalists,Imam Hussein Brigade,0.000680
Al Zawahiri Loyalists,Individual,0.032852
Al Zawahiri Loyalists,al-Iraq,0.053229
Al Zawahiri Loyalists,Islamic Movement of Iraqi Mujahidin,0.011944
Al Zawahiri Loyalists,Liberals of Galilee,0.011747
Al Zawahiri Loyalists,Mujahedeen Brigades,0.048821
Al Zawahiri Loyalists,Exodus,0.004255
Ansar al-Din,Islamic Jihad Brigades,0.023365
Ansar al-Din,Khalid ibn Walid Brigade,0.026536
Ansar al-Din,Mahdi Army,0.036321
Ansar al-Din,Mujahedeen Army,0.116744
Ansar al-Din,Protectors of Islam Brigade,0.057083
Ansar al-Islam,Armed Vanguards of a Second Mohammed Army,0.064668
Ansar al-Islam,Badr Brigades,0.013022
Ansar al-Islam,Brigades of Iman Hassan-al-Basri,0.001010
Ansar al-Islam,Gunmen,0.112829
Ansar al-Islam,Holders of the Black Banners,0.080077
Ansar al-Islam,Imam Hussein Brigade,0.029565
Ansar al-Islam,Individual,0.003232
Ansar al-Islam,al-Iraq,0.073884
Ansar al-Islam,Islamic Movement of Iraqi Mujahidin,0.024732
Ansar al-Islam,Jaish al-Ta'ifa al-Mansura,0.007441
Ansar al-Islam,Junaid Jihadist Battalion,0.077637
Ansar al-Islam,Khalid ibn Walid Brigade,0.048734
Ansar al-Islam,Mujahedeen Shura Council,0.099682
Ansar al-Jihad,Junaid Jihadist Battalion,0.091182
Ansar al-Jihad,Liberals of Galilee,0.218124
Ansar al-Jihad,Mahdi Army,0.042151
Ansar al-Jihad,Mujahedeen Army,0.092182
Ansar al-Jihad,Mujahedeen Corps in Iraq,0.015327
Ansar al-Jihad,SCIRI,0.013190
Ansar al-Jihad,Unknown,0.047278
Ansar al-Sunna,Liberals of Galilee,0.023850
Ansar al-Sunna,Mahdi Army,0.025462
Ansar al-Sunna,Mujahedeen Group,0.029424
Ansar al-Sunna,SCIRI,0.049712
Armed Vanguards of a Second Mohammed Army,Islamic Movement of Iraqi Mujahidin,0.033877
Armed Vanguards of a Second Mohammed Army,Jaish al-Ta'ifa al-Mansura,0.075720
