group,lambda
Islamic Jihad Brigades,0.000875
AQI,0.004502
1920 Revolution Brigades,0.001239
Mujahedeen Shura Council,0.001172
Ansar al-Din,0.001025
Omar Bin Khattab Group,0.000853
Brigades of Iman Hassan-al-Basri,0.000858
Revolutionary Armed Forces of Colombia (FARC),0.060774
Popular Liberation Army (EPL),0.002841
Tela Mohammed,0.000948
Jaish al-Ta'ifa al-Mansura,0.001320
Mujahedeen Army,0.000902
Armed Vanguards of a Second Mohammed Army,0.001042
Ansar al-Jihad,0.000888
Jaysh al-Muslimin (Army of the Muslims),0.001319
Mahdi Army,0.002045
United Self Defense Units of Colombia (AUC),0.004921
Imam Hussein Brigade,0.001008
Islamic Army in Iraq (al-Jaish al-Islami fi al-Iraq),0.002170
Taliban,0.025410
Ansar al-Sunna,0.001192
Ansar al-Islam,0.004112
Holders of the Black Banners,0.000985
Mujahedeen Brigades,0.000969
Supreme Council for Islamic Revolution in Iraq (SCIRI),0.002031
Opposition Group,0.003218
Mujahedeen Group,0.000926
Takfir wal-Hijra (Excommunication and Exodus),0.000854
Saif-ul-Muslimeen,0.000977
People's Revolutionary Army (ERP),0.004902
Protectors of Islam Brigade,0.000811
Badr Brigades,0.000836
Islamic Movement of Iraqi Mujahidin,0.000889
Al-Qaeda,0.006314
Junaid Jihadist Battalion,0.000781
Hizb-I-Islami,0.002538
Islamist Extremists,0.000955
Abu Hafs al-Masri Brigades,0.001077
Khalid ibn Walid Brigade,0.000977
Mujahedeen Corps in Iraq,0.000918
Liberals of Galilee,0.000836
Al Zawahiri Loyalists,0.000849
National Liberation Army of Colombia (ELN),0.009970
